genome	pulid	contigid	start	end	pattern
GCF_904425415.1_CIP_105534	PUL1	NZ_CAJGBJ010000017.1	812	5432	susC-susD
GCF_904425415.1_CIP_105534	PUL2	NZ_CAJGBJ010000017.1	21520	26213	susC-susD
GCF_904425415.1_CIP_105534	PUL3	NZ_CAJGBJ010000019.1	5034	19692	susC-susD-GH51-GH43_4-GH43_29-GH43_5-GH127-GH51
GCF_904425415.1_CIP_105534	PUL4	NZ_CAJGBJ010000027.1	18151	35285	susC-susD-unk-GH76-GH2-GH92-GH125-GH92-GH97
GCF_904425415.1_CIP_105534	PUL5	NZ_CAJGBJ010000031.1	9802	19466	GH97-GH13-unk-susD-susC
GCF_904425415.1_CIP_105534	PUL6	NZ_CAJGBJ010000032.1	11064	35638	susC-unk-CE10;GH43_18-susC-susD-GH159-GH105-unk-GH43_24-GH115-GH2-CE12
GCF_904425415.1_CIP_105534	PUL7	NZ_CAJGBJ010000032.1	54811	59436	susC-susD
GCF_904425415.1_CIP_105534	PUL8	NZ_CAJGBJ010000032.1	66642	79588	susC-susD-GH5_13-GH43_18-GH2-GH43_26-unk-GH43_31
GCF_904425415.1_CIP_105534	PUL9	NZ_CAJGBJ010000032.1	87894	109833	susC-unk-unk-unk-unk-PL15-unk-unk-unk-susD-susC
GCF_904425415.1_CIP_105534	PUL10	NZ_CAJGBJ010000033.1	1996	6838	susC-susD
GCF_904425415.1_CIP_105534	PUL11	NZ_CAJGBJ010000035.1	37536	42142	susD-susC
GCF_904425415.1_CIP_105534	PUL12	NZ_CAJGBJ010000039.1	132075	136750	susC-susD
GCF_904425415.1_CIP_105534	PUL13	NZ_CAJGBJ010000039.1	196235	208959	GH92-GH95-GH2-susD-susC
GCF_904425415.1_CIP_105534	PUL14	NZ_CAJGBJ010000041.1	21957	26869	susD-susC
GCF_904425415.1_CIP_105534	PUL15	NZ_CAJGBJ010000041.1	31064	36008	susC-susD
GCF_904425415.1_CIP_105534	PUL16	NZ_CAJGBJ010000041.1	59332	85208	GH3-unk-unk-unk-susD-susC-unk-unk-unk-CE1-unk-unk-GH20
GCF_904425415.1_CIP_105534	PUL17	NZ_CAJGBJ010000041.1	126986	137699	susC-susD-GH10-unk-GH50-unk-GH2
GCF_904425415.1_CIP_105534	PUL18	NZ_CAJGBJ010000043.1	312	14486	susC-susD-unk-GH20-GH18
GCF_904425415.1_CIP_105534	PUL19	NZ_CAJGBJ010000046.1	64263	74676	susC-susD-unk-GH53-GH53-GH2
GCF_904425415.1_CIP_105534	PUL20	NZ_CAJGBJ010000048.1	49479	69925	GH13_19-GH13_20-GH97-GH65-unk-unk-unk-susC-susD-unk-GH13_10
GCF_904425415.1_CIP_105534	PUL21	NZ_CAJGBJ010000048.1	276516	291503	susC-susD-unk-GH30_1-GH30_1-GH30_3-unk-GH30_3-GH3
GCF_904425415.1_CIP_105534	PUL22	NZ_CAJGBJ010000049.1	108493	113212	susC-susD
GCF_904425415.1_CIP_105534	PUL23	NZ_CAJGBJ010000049.1	237536	263082	GH95-GH43_9-unk-GH5_4-GH3-GH39-GH97-GH31-GH2-unk-susD-susC
GCF_904425415.1_CIP_105534	PUL24	NZ_CAJGBJ010000053.1	12247	20727	susC-susD-unk-GH8
GCF_904425415.1_CIP_105534	PUL25	NZ_CAJGBJ010000053.1	23083	27598	susD-susC
GCF_904425415.1_CIP_105534	PUL26	NZ_CAJGBJ010000053.1	32524	49746	GH97-GH3-GH43_10-CE1;CE6-unk-GH43_12-susD-susC
GCF_904425415.1_CIP_105534	PUL27	NZ_CAJGBJ010000055.1	140110	145170	susD-susC
GCF_904425415.1_CIP_105534	PUL28	NZ_CAJGBJ010000055.1	174495	192193	PL29-unk-susC-susD-GH88-GH2-unk-GH2
GCF_904425415.1_CIP_105534	PUL29	NZ_CAJGBJ010000055.1	203607	219772	susC-unk-unk-unk-GH43_19;GH43_34-GH27-GH2-GH30_4-GH30_4-susD-susC
GCF_904425415.1_CIP_105534	PUL30	NZ_CAJGBJ010000055.1	232432	241875	GH32-unk-susD-susC-GH32
GCF_904425415.1_CIP_105534	PUL31	NZ_CAJGBJ010000055.1	280630	306167	PL11_1-unk-unk-CE12-unk-GH28-unk-unk-GH117-unk-susD-susC-unk-GH106-GH105
GCF_904425415.1_CIP_105534	PUL32	NZ_CAJGBJ010000055.1	372060	376404	susC-susD
GCF_904425415.1_CIP_105534	PUL33	NZ_CAJGBJ010000057.1	66019	71059	susD-susC
GCF_904425415.1_CIP_105534	PUL34	NZ_CAJGBJ010000058.1	26741	35006	susC-susD-GH99-GH97
GCF_904425415.1_CIP_105534	PUL35	NZ_CAJGBJ010000058.1	114400	131451	GH28-susC-susD-CE10-unk-GH105-GH105-GH43_10-CE8;PL10_1-GH28-CE12
GCF_904425415.1_CIP_105534	PUL36	NZ_CAJGBJ010000060.1	68877	74196	susC-susD
GCF_904425415.1_CIP_105534	PUL37	NZ_CAJGBJ010000061.1	9033	18611	susC-susD-unk-GH109-GH35
GCF_904425415.1_CIP_105534	PUL38	NZ_CAJGBJ010000062.1	49698	77323	GH5_2-GH27-unk-unk-unk-susD-susC-unk-GH26-unk-GH130-unk-GH26-GH5_7-unk-unk-GH3-unk-CE2
GCF_904425415.1_CIP_105534	PUL39	NZ_CAJGBJ010000075.1	43610	53254	susD-susC-susD-susC
GCF_904425415.1_CIP_105534	PUL40	NZ_CAJGBJ010000078.1	10331	31565	GH3-unk-susC-susD-unk-GH10-GH16-unk-unk-unk-unk-GH128
GCF_904425415.1_CIP_105534	PUL41	NZ_CAJGBJ010000080.1	50792	56678	susC-susD-GH18
GCF_904425415.1_CIP_105534	PUL42	NZ_CAJGBJ010000083.1	14250	22889	GH16-GH16-unk-susD-susC
GCF_904425415.1_CIP_105534	PUL43	NZ_CAJGBJ010000087.1	128805	134062	susC-susD
GCF_904425415.1_CIP_105534	PUL44	NZ_CAJGBJ010000088.1	60335	68156	susC-susC-susD-unk-susC
GCF_904425415.1_CIP_105534	PUL45	NZ_CAJGBJ010000090.1	25571	37479	susC-susD-GH144-CE1-GH3-unk-CBM32;GH43_28
GCF_904425415.1_CIP_105534	PUL46	NZ_CAJGBJ010000099.1	24431	29392	susD-susC
