genome	pulid	contigid	start	end	pattern
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL1	NZ_FNRD01000001.1	131182	141986	GH13_31-GH13_31-GH65-susC-susD
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL2	NZ_FNRD01000001.1	337187	341693	susD-susC
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL3	NZ_FNRD01000001.1	529855	540066	susC-susD-unk-susC-susD
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL4	NZ_FNRD01000002.1	232971	242102	susC-susD-unk-unk-unk-GT51
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL5	NZ_FNRD01000003.1	5350	9834	susD-susC
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL6	NZ_FNRD01000003.1	308907	313254	susC-susD
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL7	NZ_FNRD01000006.1	150082	159483	susD-susC-unk-susC
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL8	NZ_FNRD01000006.1	176280	194836	GH13_10-unk-susD-susC-unk-unk-unk-GH65-GH13_20-GH13_19
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL9	NZ_FNRD01000007.1	137997	152096	susC-susD-unk-GH144-CE1-GH3-GH97-GH43_28;CBM32
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL10	NZ_FNRD01000008.1	53429	64395	GH16-GH3-GH16-unk-susD-susC
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL11	NZ_FNRD01000008.1	120077	125278	susC-susD
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL12	NZ_FNRD01000010.1	71323	76037	susD-susC
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL13	NZ_FNRD01000010.1	162039	166472	susD-susC
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL14	NZ_FNRD01000012.1	2347	7269	susC-susD
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL15	NZ_FNRD01000012.1	14386	30945	GH33-CE9-unk-unk-unk-GH92-unk-susD-susC
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL16	NZ_FNRD01000012.1	72370	77239	susD-susC
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL17	NZ_FNRD01000012.1	95250	118619	CE2-unk-GH2-GH95-GH2-unk-unk-GH30_4-susD-susC-unk-GH2
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL18	NZ_FNRD01000012.1	146145	155168	susC-susD-GH63-GH42
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL19	NZ_FNRD01000015.1	5251	9719	susD-susC
GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly	PUL20	NZ_FNRD01000015.1	104109	108555	susC-susD
