genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_000813005.1_ASM81300v1	PUL1	NZ_JSYP01000001.1_8	NZ_JSYP01000001.1	8704	11778	+	0	NZ_JSYP01000001.1_8	susC		
GCF_000813005.1_ASM81300v1	PUL1	NZ_JSYP01000001.1_9	NZ_JSYP01000001.1	11790	13487	+	12	NZ_JSYP01000001.1_9	susD		
GCF_000813005.1_ASM81300v1	PUL1	NZ_JSYP01000001.1_10	NZ_JSYP01000001.1	13626	14924	+	139	NZ_JSYP01000001.1_10			
GCF_000813005.1_ASM81300v1	PUL1	NZ_JSYP01000001.1_11	NZ_JSYP01000001.1	14986	16365	+	62	NZ_JSYP01000001.1_11		GH109	
GCF_000813005.1_ASM81300v1	PUL1	NZ_JSYP01000001.1_12	NZ_JSYP01000001.1	16757	18616	+	392	NZ_JSYP01000001.1_12		GH35	
GCF_000813005.1_ASM81300v1	PUL2	NZ_JSYP01000001.1_345	NZ_JSYP01000001.1	393886	395397	-	375270	NZ_JSYP01000001.1_345	susD		
GCF_000813005.1_ASM81300v1	PUL2	NZ_JSYP01000001.1_346	NZ_JSYP01000001.1	395401	398688	-	4	NZ_JSYP01000001.1_346	susC		
GCF_000813005.1_ASM81300v1	PUL3	NZ_JSYP01000001.1_347	NZ_JSYP01000001.1	399274	400761	-	586	NZ_JSYP01000001.1_347	susD		
GCF_000813005.1_ASM81300v1	PUL3	NZ_JSYP01000001.1_348	NZ_JSYP01000001.1	400777	403896	-	16	NZ_JSYP01000001.1_348	susC		
GCF_000813005.1_ASM81300v1	PUL4	NZ_JSYP01000001.1_504	NZ_JSYP01000001.1	602510	605014	-	198614	NZ_JSYP01000001.1_504		GH20	
GCF_000813005.1_ASM81300v1	PUL4	NZ_JSYP01000001.1_505	NZ_JSYP01000001.1	605036	606508	-	22	NZ_JSYP01000001.1_505			
GCF_000813005.1_ASM81300v1	PUL4	NZ_JSYP01000001.1_506	NZ_JSYP01000001.1	607004	608842	-	496	NZ_JSYP01000001.1_506			
GCF_000813005.1_ASM81300v1	PUL4	NZ_JSYP01000001.1_507	NZ_JSYP01000001.1	609190	609795	-	348	NZ_JSYP01000001.1_507		CE1	
GCF_000813005.1_ASM81300v1	PUL4	NZ_JSYP01000001.1_508	NZ_JSYP01000001.1	610136	613051	-	341	NZ_JSYP01000001.1_508			
