genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCA_000383355.1_ASM38335v1	PUL1	KB911090.1_57	KB911090.1	75846	77393	-	0	KB911090.1_57	susD		
GCA_000383355.1_ASM38335v1	PUL1	KB911090.1_58	KB911090.1	77406	80501	-	13	KB911090.1_58	susC		
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_141	KB911090.1	174881	176194	+	94380	KB911090.1_141	susC		
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_142	KB911090.1	176308	177951	+	114	KB911090.1_142	susC		
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_143	KB911090.1	177962	179434	+	11	KB911090.1_143	susD		
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_144	KB911090.1	179447	181432	+	13	KB911090.1_144		CBM4	
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_145	KB911090.1	181445	183202	+	13	KB911090.1_145		GH16	
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_146	KB911090.1	183663	185513	+	461	KB911090.1_146		GH2	
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_147	KB911090.1	185526	188996	+	13	KB911090.1_147		GH149	
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_148	KB911090.1	189121	190290	+	125	KB911090.1_148		GH17	
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_149	KB911090.1	190305	191798	+	15	KB911090.1_149		GH30_1	
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_150	KB911090.1	191828	193240	+	30	KB911090.1_150			
GCA_000383355.1_ASM38335v1	PUL2	KB911090.1_151	KB911090.1	193275	194162	+	35	KB911090.1_151		GH17	
