genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_902506265.1_FLAVO9AF_assembly	PUL1	NZ_LR733556.1_61	NZ_LR733556.1	49566	52757	+	0	NZ_LR733556.1_61	susC		
GCF_902506265.1_FLAVO9AF_assembly	PUL1	NZ_LR733556.1_62	NZ_LR733556.1	52772	54214	+	15	NZ_LR733556.1_62	susD		
GCF_902506265.1_FLAVO9AF_assembly	PUL2	NZ_LR733556.1_265	NZ_LR733556.1	260001	261341	-	205787	NZ_LR733556.1_265		PL1	
GCF_902506265.1_FLAVO9AF_assembly	PUL2	NZ_LR733556.1_266	NZ_LR733556.1	261351	264581	-	10	NZ_LR733556.1_266		CE8	
GCF_902506265.1_FLAVO9AF_assembly	PUL2	NZ_LR733556.1_267	NZ_LR733556.1	264735	266519	-	154	NZ_LR733556.1_267	susD		
GCF_902506265.1_FLAVO9AF_assembly	PUL2	NZ_LR733556.1_268	NZ_LR733556.1	266541	269753	-	22	NZ_LR733556.1_268	susC		
GCF_902506265.1_FLAVO9AF_assembly	PUL2	NZ_LR733556.1_269	NZ_LR733556.1	269773	271233	-	20	NZ_LR733556.1_269		GH28	
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_538	NZ_LR733556.1	544955	550003	-	273722	NZ_LR733556.1_538		GH18	
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_539	NZ_LR733556.1	550175	552238	-	172	NZ_LR733556.1_539		GH20	
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_540	NZ_LR733556.1	552379	554316	-	141	NZ_LR733556.1_540			
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_541	NZ_LR733556.1	554395	555978	-	79	NZ_LR733556.1_541	susD		
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_542	NZ_LR733556.1	555990	559022	-	12	NZ_LR733556.1_542	susC		
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_543	NZ_LR733556.1	559320	560360	+	298	NZ_LR733556.1_543			
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_544	NZ_LR733556.1	560350	561048	+	-10	NZ_LR733556.1_544			
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_545	NZ_LR733556.1	561106	562737	-	58	NZ_LR733556.1_545		GH16;CBM6	
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_546	NZ_LR733556.1	562961	564862	-	224	NZ_LR733556.1_546		CBM6;GH18	
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_547	NZ_LR733556.1	564916	567315	-	54	NZ_LR733556.1_547		CBM6	
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_548	NZ_LR733556.1	567647	569845	-	332	NZ_LR733556.1_548		CBM6;GH64	
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_549	NZ_LR733556.1	570036	570794	-	191	NZ_LR733556.1_549		GH16	
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_550	NZ_LR733556.1	570802	573099	-	8	NZ_LR733556.1_550		GH3	
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_551	NZ_LR733556.1	573207	574856	-	108	NZ_LR733556.1_551		GH16	
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_552	NZ_LR733556.1	574868	576421	-	12	NZ_LR733556.1_552			
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_553	NZ_LR733556.1	576433	577908	-	12	NZ_LR733556.1_553	susD		
GCF_902506265.1_FLAVO9AF_assembly	PUL3	NZ_LR733556.1_554	NZ_LR733556.1	577919	580972	-	11	NZ_LR733556.1_554	susC		
GCF_902506265.1_FLAVO9AF_assembly	PUL4	NZ_LR733556.1_1602	NZ_LR733556.1	1759901	1762975	+	1178929	NZ_LR733556.1_1602	susC		
GCF_902506265.1_FLAVO9AF_assembly	PUL4	NZ_LR733556.1_1603	NZ_LR733556.1	1762990	1764555	+	15	NZ_LR733556.1_1603	susD		
GCF_902506265.1_FLAVO9AF_assembly	PUL5	NZ_LR733556.1_2022	NZ_LR733556.1	2277799	2279223	-	513244	NZ_LR733556.1_2022	susD		
GCF_902506265.1_FLAVO9AF_assembly	PUL5	NZ_LR733556.1_2023	NZ_LR733556.1	2279235	2282390	-	12	NZ_LR733556.1_2023	susC		
GCF_902506265.1_FLAVO9AF_assembly	PUL6	NZ_LR733556.1_2363	NZ_LR733556.1	2621706	2624702	+	339316	NZ_LR733556.1_2363	susC		
GCF_902506265.1_FLAVO9AF_assembly	PUL6	NZ_LR733556.1_2364	NZ_LR733556.1	2624716	2626194	+	14	NZ_LR733556.1_2364	susD		
GCF_902506265.1_FLAVO9AF_assembly	PUL6	NZ_LR733556.1_2365	NZ_LR733556.1	2626226	2627086	+	32	NZ_LR733556.1_2365			
GCF_902506265.1_FLAVO9AF_assembly	PUL6	NZ_LR733556.1_2366	NZ_LR733556.1	2627139	2628497	+	53	NZ_LR733556.1_2366		GH144	
GCF_902506265.1_FLAVO9AF_assembly	PUL6	NZ_LR733556.1_2367	NZ_LR733556.1	2628497	2629195	+	0	NZ_LR733556.1_2367		CE1	
GCF_902506265.1_FLAVO9AF_assembly	PUL6	NZ_LR733556.1_2368	NZ_LR733556.1	2629215	2631518	+	20	NZ_LR733556.1_2368		GH3	
GCF_902506265.1_FLAVO9AF_assembly	PUL6	NZ_LR733556.1_2369	NZ_LR733556.1	2631581	2633344	+	63	NZ_LR733556.1_2369		GH43_28;CBM32	
GCF_902506265.1_FLAVO9AF_assembly	PUL7	NZ_LR733556.1_2525	NZ_LR733556.1	2795593	2797485	-	162249	NZ_LR733556.1_2525		GH5_46	
GCF_902506265.1_FLAVO9AF_assembly	PUL7	NZ_LR733556.1_2526	NZ_LR733556.1	2797615	2799102	-	130	NZ_LR733556.1_2526		GH30_1	
GCF_902506265.1_FLAVO9AF_assembly	PUL7	NZ_LR733556.1_2527	NZ_LR733556.1	2799116	2800558	-	14	NZ_LR733556.1_2527		GH30_3	
GCF_902506265.1_FLAVO9AF_assembly	PUL7	NZ_LR733556.1_2528	NZ_LR733556.1	2800574	2802301	-	16	NZ_LR733556.1_2528			
GCF_902506265.1_FLAVO9AF_assembly	PUL7	NZ_LR733556.1_2529	NZ_LR733556.1	2802312	2803787	-	11	NZ_LR733556.1_2529	susD		
GCF_902506265.1_FLAVO9AF_assembly	PUL7	NZ_LR733556.1_2530	NZ_LR733556.1	2803798	2806746	-	11	NZ_LR733556.1_2530	susC		
GCF_902506265.1_FLAVO9AF_assembly	PUL8	NZ_LR733585.1_10	NZ_LR733585.1	9852	10799	-	-2796894	NZ_LR733585.1_10		GH5_2	
GCF_902506265.1_FLAVO9AF_assembly	PUL8	NZ_LR733585.1_11	NZ_LR733585.1	10800	12005	-	1	NZ_LR733585.1_11		GH27	
GCF_902506265.1_FLAVO9AF_assembly	PUL8	NZ_LR733585.1_12	NZ_LR733585.1	12079	13095	-	74	NZ_LR733585.1_12			
GCF_902506265.1_FLAVO9AF_assembly	PUL8	NZ_LR733585.1_13	NZ_LR733585.1	13118	14731	-	23	NZ_LR733585.1_13	susD		
GCF_902506265.1_FLAVO9AF_assembly	PUL8	NZ_LR733585.1_14	NZ_LR733585.1	14743	17925	-	12	NZ_LR733585.1_14	susC		
GCF_902506265.1_FLAVO9AF_assembly	PUL9	NZ_LR733625.1_31	NZ_LR733625.1	46075	49146	+	28150	NZ_LR733625.1_31	susC		
GCF_902506265.1_FLAVO9AF_assembly	PUL9	NZ_LR733625.1_32	NZ_LR733625.1	49164	50642	+	18	NZ_LR733625.1_32	susD		
