genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1_237	NZ_AMYW01000001.1	273316	275175	-	0	NZ_AMYW01000001.1_237		GH13_20	
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1_238	NZ_AMYW01000001.1	275516	277630	-	341	NZ_AMYW01000001.1_238		GH97	
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1_239	NZ_AMYW01000001.1	277657	279960	-	27	NZ_AMYW01000001.1_239		GH65	
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1_240	NZ_AMYW01000001.1	279978	280637	-	18	NZ_AMYW01000001.1_240			
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1_241	NZ_AMYW01000001.1	280630	282150	-	-7	NZ_AMYW01000001.1_241			
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1_242	NZ_AMYW01000001.1	282332	283363	-	182	NZ_AMYW01000001.1_242			
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1_243	NZ_AMYW01000001.1	283601	286576	+	238	NZ_AMYW01000001.1_243	susC		
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1_244	NZ_AMYW01000001.1	286614	288242	+	38	NZ_AMYW01000001.1_244	susD		
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1_245	NZ_AMYW01000001.1	288260	289357	+	18	NZ_AMYW01000001.1_245			
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1_246	NZ_AMYW01000001.1	289439	292312	+	82	NZ_AMYW01000001.1_246		GH13_10	
GCF_000335775.1_WG21.1.0	PUL2	NZ_AMYW01000002.1_14	NZ_AMYW01000002.1	17914	19371	-	-274398	NZ_AMYW01000002.1_14	susD		
GCF_000335775.1_WG21.1.0	PUL2	NZ_AMYW01000002.1_15	NZ_AMYW01000002.1	19383	22589	-	12	NZ_AMYW01000002.1_15	susC		
GCF_000335775.1_WG21.1.0	PUL3	NZ_AMYW01000002.1_212	NZ_AMYW01000002.1	220679	223891	+	198090	NZ_AMYW01000002.1_212	susC		
GCF_000335775.1_WG21.1.0	PUL4	NZ_AMYW01000002.1_212	NZ_AMYW01000002.1	220679	223891	+	-9676	NZ_AMYW01000002.1_212	susC		
GCF_000335775.1_WG21.1.0	PUL3	NZ_AMYW01000002.1_213	NZ_AMYW01000002.1	223903	225405	+	12	NZ_AMYW01000002.1_213	susD		
GCF_000335775.1_WG21.1.0	PUL4	NZ_AMYW01000002.1_213	NZ_AMYW01000002.1	223903	225405	+	12	NZ_AMYW01000002.1_213	susD		
GCF_000335775.1_WG21.1.0	PUL3	NZ_AMYW01000002.1_214	NZ_AMYW01000002.1	225720	228908	+	315	NZ_AMYW01000002.1_214	susC		
GCF_000335775.1_WG21.1.0	PUL4	NZ_AMYW01000002.1_214	NZ_AMYW01000002.1	225720	228908	+	315	NZ_AMYW01000002.1_214	susC		
GCF_000335775.1_WG21.1.0	PUL3	NZ_AMYW01000002.1_215	NZ_AMYW01000002.1	228922	230355	+	14	NZ_AMYW01000002.1_215	susD		
GCF_000335775.1_WG21.1.0	PUL4	NZ_AMYW01000002.1_215	NZ_AMYW01000002.1	228922	230355	+	14	NZ_AMYW01000002.1_215	susD		
GCF_000335775.1_WG21.1.0	PUL5	NZ_AMYW01000002.1_216	NZ_AMYW01000002.1	230926	234081	+	571	NZ_AMYW01000002.1_216	susC		
GCF_000335775.1_WG21.1.0	PUL5	NZ_AMYW01000002.1_217	NZ_AMYW01000002.1	234093	235808	+	12	NZ_AMYW01000002.1_217	susD		
GCF_000335775.1_WG21.1.0	PUL6	NZ_AMYW01000003.1_248	NZ_AMYW01000003.1	251586	254270	-	15778	NZ_AMYW01000003.1_248		PL15	
GCF_000335775.1_WG21.1.0	PUL6	NZ_AMYW01000003.1_249	NZ_AMYW01000003.1	254293	255672	-	23	NZ_AMYW01000003.1_249			
GCF_000335775.1_WG21.1.0	PUL6	NZ_AMYW01000003.1_250	NZ_AMYW01000003.1	256014	256979	-	342	NZ_AMYW01000003.1_250			
GCF_000335775.1_WG21.1.0	PUL6	NZ_AMYW01000003.1_251	NZ_AMYW01000003.1	256994	257086	-	15	NZ_AMYW01000003.1_251			
GCF_000335775.1_WG21.1.0	PUL6	NZ_AMYW01000003.1_252	NZ_AMYW01000003.1	257168	259054	-	82	NZ_AMYW01000003.1_252	susD		
GCF_000335775.1_WG21.1.0	PUL6	NZ_AMYW01000003.1_253	NZ_AMYW01000003.1	259071	262223	-	17	NZ_AMYW01000003.1_253	susC		
GCF_000335775.1_WG21.1.0	PUL7	NZ_AMYW01000004.1_95	NZ_AMYW01000004.1	108635	111754	+	-153588	NZ_AMYW01000004.1_95	susC		
GCF_000335775.1_WG21.1.0	PUL7	NZ_AMYW01000004.1_96	NZ_AMYW01000004.1	111880	113874	+	126	NZ_AMYW01000004.1_96			
GCF_000335775.1_WG21.1.0	PUL7	NZ_AMYW01000004.1_97	NZ_AMYW01000004.1	113998	115227	+	124	NZ_AMYW01000004.1_97			
GCF_000335775.1_WG21.1.0	PUL7	NZ_AMYW01000004.1_98	NZ_AMYW01000004.1	115252	115653	-	25	NZ_AMYW01000004.1_98			
GCF_000335775.1_WG21.1.0	PUL7	NZ_AMYW01000004.1_99	NZ_AMYW01000004.1	115710	116513	+	57	NZ_AMYW01000004.1_99		CE1	
GCF_000335775.1_WG21.1.0	PUL7	NZ_AMYW01000004.1_100	NZ_AMYW01000004.1	116530	117540	+	17	NZ_AMYW01000004.1_100			
GCF_000335775.1_WG21.1.0	PUL7	NZ_AMYW01000004.1_101	NZ_AMYW01000004.1	117546	118577	+	6	NZ_AMYW01000004.1_101			
GCF_000335775.1_WG21.1.0	PUL7	NZ_AMYW01000004.1_102	NZ_AMYW01000004.1	118618	120126	-	41	NZ_AMYW01000004.1_102	susD		
GCF_000335775.1_WG21.1.0	PUL7	NZ_AMYW01000004.1_103	NZ_AMYW01000004.1	120161	123292	-	35	NZ_AMYW01000004.1_103	susC		
GCF_000335775.1_WG21.1.0	PUL8	NZ_AMYW01000004.1_145	NZ_AMYW01000004.1	177986	181045	+	54694	NZ_AMYW01000004.1_145	susC		
GCF_000335775.1_WG21.1.0	PUL8	NZ_AMYW01000004.1_146	NZ_AMYW01000004.1	181061	182338	+	16	NZ_AMYW01000004.1_146	susD		
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1_71	NZ_AMYW01000005.1	66399	67826	+	-115939	NZ_AMYW01000005.1_71		GH28	
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1_72	NZ_AMYW01000005.1	67873	71049	+	47	NZ_AMYW01000005.1_72	susC		
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1_73	NZ_AMYW01000005.1	71060	72751	+	11	NZ_AMYW01000005.1_73	susD		
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1_74	NZ_AMYW01000005.1	72871	73815	+	120	NZ_AMYW01000005.1_74		CE10	
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1_75	NZ_AMYW01000005.1	73819	74784	+	4	NZ_AMYW01000005.1_75			
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1_76	NZ_AMYW01000005.1	74931	76160	+	147	NZ_AMYW01000005.1_76		GH105	
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1_77	NZ_AMYW01000005.1	76183	77403	+	23	NZ_AMYW01000005.1_77		GH105	
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1_78	NZ_AMYW01000005.1	77478	79487	+	75	NZ_AMYW01000005.1_78		CE8;PL10_1	
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1_79	NZ_AMYW01000005.1	79707	81056	+	220	NZ_AMYW01000005.1_79		GH28	
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1_80	NZ_AMYW01000005.1	81115	81861	+	59	NZ_AMYW01000005.1_80		CE12	
GCF_000335775.1_WG21.1.0	PUL10	NZ_AMYW01000005.1_172	NZ_AMYW01000005.1	198262	201651	+	116401	NZ_AMYW01000005.1_172	susC		
GCF_000335775.1_WG21.1.0	PUL10	NZ_AMYW01000005.1_173	NZ_AMYW01000005.1	201672	203207	+	21	NZ_AMYW01000005.1_173	susD		
GCF_000335775.1_WG21.1.0	PUL11	NZ_AMYW01000007.1_50	NZ_AMYW01000007.1	54254	57232	+	-148953	NZ_AMYW01000007.1_50	susC		
GCF_000335775.1_WG21.1.0	PUL11	NZ_AMYW01000007.1_51	NZ_AMYW01000007.1	57249	58721	+	17	NZ_AMYW01000007.1_51	susD		
GCF_000335775.1_WG21.1.0	PUL12	NZ_AMYW01000007.1_59	NZ_AMYW01000007.1	69771	72779	+	11050	NZ_AMYW01000007.1_59	susC		
GCF_000335775.1_WG21.1.0	PUL12	NZ_AMYW01000007.1_60	NZ_AMYW01000007.1	72790	74187	+	11	NZ_AMYW01000007.1_60	susD		
GCF_000335775.1_WG21.1.0	PUL13	NZ_AMYW01000011.1_70	NZ_AMYW01000011.1	77277	80282	+	3090	NZ_AMYW01000011.1_70	susC		
GCF_000335775.1_WG21.1.0	PUL13	NZ_AMYW01000011.1_71	NZ_AMYW01000011.1	80287	81750	+	5	NZ_AMYW01000011.1_71	susD		
GCF_000335775.1_WG21.1.0	PUL13	NZ_AMYW01000011.1_72	NZ_AMYW01000011.1	81825	83192	+	75	NZ_AMYW01000011.1_72		GH144	
GCF_000335775.1_WG21.1.0	PUL13	NZ_AMYW01000011.1_73	NZ_AMYW01000011.1	83278	85578	+	86	NZ_AMYW01000011.1_73		GH3	
