genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_902167265.1_flavo_2	PUL1	NZ_CABHLX010000001.1_71	NZ_CABHLX010000001.1	134802	136688	-	0	NZ_CABHLX010000001.1_71	susD		
GCF_902167265.1_flavo_2	PUL1	NZ_CABHLX010000001.1_72	NZ_CABHLX010000001.1	136705	139812	-	17	NZ_CABHLX010000001.1_72	susC		
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_96	NZ_CABHLX010000001.1	170560	173997	+	30748	NZ_CABHLX010000001.1_96	susC		
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_97	NZ_CABHLX010000001.1	174005	175438	+	8	NZ_CABHLX010000001.1_97	susD		
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_98	NZ_CABHLX010000001.1	175448	177022	+	10	NZ_CABHLX010000001.1_98			
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_99	NZ_CABHLX010000001.1	177036	177932	+	14	NZ_CABHLX010000001.1_99			
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_100	NZ_CABHLX010000001.1	178131	179423	+	199	NZ_CABHLX010000001.1_100			
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_101	NZ_CABHLX010000001.1	179459	180439	-	36	NZ_CABHLX010000001.1_101			
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_102	NZ_CABHLX010000001.1	180870	182678	-	431	NZ_CABHLX010000001.1_102		CE10;GH43_18	
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_103	NZ_CABHLX010000001.1	182662	185628	-	-16	NZ_CABHLX010000001.1_103		GH2	
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_104	NZ_CABHLX010000001.1	185628	186752	-	0	NZ_CABHLX010000001.1_104		GH105	
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_105	NZ_CABHLX010000001.1	186775	189561	-	23	NZ_CABHLX010000001.1_105		GH106	
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_106	NZ_CABHLX010000001.1	189984	193136	+	423	NZ_CABHLX010000001.1_106	susC		
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_107	NZ_CABHLX010000001.1	193178	195280	+	42	NZ_CABHLX010000001.1_107	susD		
GCF_902167265.1_flavo_2	PUL2	NZ_CABHLX010000001.1_108	NZ_CABHLX010000001.1	195719	198862	+	439	NZ_CABHLX010000001.1_108	susC		
