genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL1	NZ_FZNL01000001.1_54	NZ_FZNL01000001.1	64371	65978	-	0	NZ_FZNL01000001.1_54	susD		
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL1	NZ_FZNL01000001.1_55	NZ_FZNL01000001.1	66015	68996	-	37	NZ_FZNL01000001.1_55	susC		
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL1	NZ_FZNL01000001.1_56	NZ_FZNL01000001.1	69233	70264	+	237	NZ_FZNL01000001.1_56			
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL1	NZ_FZNL01000001.1_57	NZ_FZNL01000001.1	70445	71965	+	181	NZ_FZNL01000001.1_57			
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL1	NZ_FZNL01000001.1_58	NZ_FZNL01000001.1	71958	72614	+	-7	NZ_FZNL01000001.1_58			
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL1	NZ_FZNL01000001.1_59	NZ_FZNL01000001.1	72853	75156	+	239	NZ_FZNL01000001.1_59		GH65	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL1	NZ_FZNL01000001.1_60	NZ_FZNL01000001.1	75185	77299	+	29	NZ_FZNL01000001.1_60		GH97	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL1	NZ_FZNL01000001.1_61	NZ_FZNL01000001.1	77424	78248	+	125	NZ_FZNL01000001.1_61			
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL1	NZ_FZNL01000001.1_62	NZ_FZNL01000001.1	78358	80220	+	110	NZ_FZNL01000001.1_62		GH13_20	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL1	NZ_FZNL01000001.1_63	NZ_FZNL01000001.1	80426	82093	+	206	NZ_FZNL01000001.1_63		GH13_19	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL2	NZ_FZNL01000001.1_70	NZ_FZNL01000001.1	87302	88861	-	5209	NZ_FZNL01000001.1_70	susD		
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL2	NZ_FZNL01000001.1_71	NZ_FZNL01000001.1	88873	91914	-	12	NZ_FZNL01000001.1_71	susC		
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL2	NZ_FZNL01000001.1_72	NZ_FZNL01000001.1	91994	92851	-	80	NZ_FZNL01000001.1_72			
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL2	NZ_FZNL01000001.1_73	NZ_FZNL01000001.1	93141	94394	-	290	NZ_FZNL01000001.1_73			
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL2	NZ_FZNL01000001.1_74	NZ_FZNL01000001.1	94531	97143	-	137	NZ_FZNL01000001.1_74		GH2	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL3	NZ_FZNL01000001.1_388	NZ_FZNL01000001.1	442110	444095	-	344967	NZ_FZNL01000001.1_388		GH51	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL3	NZ_FZNL01000001.1_389	NZ_FZNL01000001.1	444454	446406	-	359	NZ_FZNL01000001.1_389		GH127	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL3	NZ_FZNL01000001.1_390	NZ_FZNL01000001.1	446456	447439	-	50	NZ_FZNL01000001.1_390		GH43_5	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL3	NZ_FZNL01000001.1_391	NZ_FZNL01000001.1	447612	448562	-	173	NZ_FZNL01000001.1_391		GH43_29	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL3	NZ_FZNL01000001.1_392	NZ_FZNL01000001.1	448795	450420	-	233	NZ_FZNL01000001.1_392		GH43_4	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL3	NZ_FZNL01000001.1_393	NZ_FZNL01000001.1	450433	451980	-	13	NZ_FZNL01000001.1_393		GH51	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL3	NZ_FZNL01000001.1_394	NZ_FZNL01000001.1	452039	453049	-	59	NZ_FZNL01000001.1_394		GH43_5	
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL3	NZ_FZNL01000001.1_395	NZ_FZNL01000001.1	453239	454801	-	190	NZ_FZNL01000001.1_395	susD		
GCF_900187965.1_IMG-taxon_2609459741_annotated_assembly	PUL3	NZ_FZNL01000001.1_396	NZ_FZNL01000001.1	454833	457877	-	32	NZ_FZNL01000001.1_396	susC		
