genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_000282055.1_CF136.fsa	PUL1	NZ_AKJZ01000002.1_2	NZ_AKJZ01000002.1	1170	4838	+	0	NZ_AKJZ01000002.1_2	susC		
GCF_000282055.1_CF136.fsa	PUL1	NZ_AKJZ01000002.1_3	NZ_AKJZ01000002.1	4851	6326	+	13	NZ_AKJZ01000002.1_3	susD		
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_14	NZ_AKJZ01000002.1	21979	25170	+	15653	NZ_AKJZ01000002.1_14	susC		
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_15	NZ_AKJZ01000002.1	25189	26775	+	19	NZ_AKJZ01000002.1_15	susD		
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_16	NZ_AKJZ01000002.1	26795	28306	+	20	NZ_AKJZ01000002.1_16			
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_17	NZ_AKJZ01000002.1	28436	29908	+	130	NZ_AKJZ01000002.1_17		GH5_4	
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_18	NZ_AKJZ01000002.1	30084	32102	+	176	NZ_AKJZ01000002.1_18		CBM51	
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_19	NZ_AKJZ01000002.1	32214	33692	+	112	NZ_AKJZ01000002.1_19		GH5_4	
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_20	NZ_AKJZ01000002.1	33864	35396	+	172	NZ_AKJZ01000002.1_20		GH43_16	
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_21	NZ_AKJZ01000002.1	35506	38049	+	110	NZ_AKJZ01000002.1_21		GH51	
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_22	NZ_AKJZ01000002.1	38064	38243	+	15	NZ_AKJZ01000002.1_22			
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_23	NZ_AKJZ01000002.1	38224	40623	+	-19	NZ_AKJZ01000002.1_23			
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_24	NZ_AKJZ01000002.1	40862	41143	+	239	NZ_AKJZ01000002.1_24			
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_25	NZ_AKJZ01000002.1	41154	44000	+	11	NZ_AKJZ01000002.1_25		GH74	
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_26	NZ_AKJZ01000002.1	44057	45685	+	57	NZ_AKJZ01000002.1_26		GH29	
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_27	NZ_AKJZ01000002.1	45856	46656	+	171	NZ_AKJZ01000002.1_27			
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1_28	NZ_AKJZ01000002.1	46808	47161	+	152	NZ_AKJZ01000002.1_28			
