genome	pulid	contigid	start	end	pattern
GCF_003668995.1_ASM366899v1	PUL1	NZ_CP033068.1	172942	177478	susC-susD
GCF_003668995.1_ASM366899v1	PUL2	NZ_CP033068.1	535626	545268	GH35-GH109-unk-susD-susC-susC
GCF_003668995.1_ASM366899v1	PUL3	NZ_CP033068.1	950165	961982	susC-susD-GH144-unk-GH3-unk-unk-GH43_28;CBM32
GCF_003668995.1_ASM366899v1	PUL4	NZ_CP033068.1	1122478	1126901	susC-susD
GCF_003668995.1_ASM366899v1	PUL5	NZ_CP033068.1	1324675	1329294	susD-susC
GCF_003668995.1_ASM366899v1	PUL6	NZ_CP033068.1	1682335	1687000	susC-susD
GCF_003668995.1_ASM366899v1	PUL7	NZ_CP033068.1	1703094	1709596	susC-susD-unk-unk-CE10
GCF_003668995.1_ASM366899v1	PUL8	NZ_CP033068.1	1767715	1772377	susC-susC-susD
GCF_003668995.1_ASM366899v1	PUL9	NZ_CP033068.1	1857853	1870988	CE12-GH28-CE8-PL10_1-GH105-unk-CE10-susD-susC
GCF_003668995.1_ASM366899v1	PUL10	NZ_CP033068.1	1874703	1881212	susD-susC-GH28
GCF_003668995.1_ASM366899v1	PUL11	NZ_CP033068.1	2041961	2046893	susD-susC
GCF_003668995.1_ASM366899v1	PUL12	NZ_CP033068.1	2066305	2070797	susC-susD
GCF_003668995.1_ASM366899v1	PUL13	NZ_CP033068.1	2108719	2113339	susD-susC
GCF_003668995.1_ASM366899v1	PUL14	NZ_CP033068.1	2140586	2145803	susD-susC
GCF_003668995.1_ASM366899v1	PUL15	NZ_CP033068.1	2408969	2422059	GH18-GH20-unk-unk-susD-susC
GCF_003668995.1_ASM366899v1	PUL16	NZ_CP033068.1	2497702	2502311	susC-susD
GCF_003668995.1_ASM366899v1	PUL17	NZ_CP033068.1	2509879	2514283	susC-susD
GCF_003668995.1_ASM366899v1	PUL18	NZ_CP033068.1	3325388	3330120	susC-susD
GCF_003668995.1_ASM366899v1	PUL19	NZ_CP033068.1	3331972	3336466	susC-susD
GCF_003668995.1_ASM366899v1	PUL20	NZ_CP033068.1	3825546	3834543	susC-susD-GH63-GH42
GCF_003668995.1_ASM366899v1	PUL21	NZ_CP033068.1	4385569	4390326	susD-susC
GCF_003668995.1_ASM366899v1	PUL22	NZ_CP033068.1	4584667	4598438	susC-susD-unk-GH30_1-GH30_3-GH5_46-unk-unk-GH3
GCF_003668995.1_ASM366899v1	PUL23	NZ_CP033068.1	4899205	4924800	GH3-unk-unk-unk-susD-susC-unk-unk-unk-CE1-unk-unk-GH20
