genome	pulid	contigid	start	end	pattern
GCF_900450525.1_59302_E01	PUL1	NZ_UGGR01000001.1	877	21843	CE8;PL1_2;CBM6-CE12-CE10-GH28-GH105-GH43_10-unk-susD-susC
GCF_900450525.1_59302_E01	PUL2	NZ_UGGR01000001.1	73752	78430	susC-susD
GCF_900450525.1_59302_E01	PUL3	NZ_UGGR01000001.1	106860	111702	susC-susD
GCF_900450525.1_59302_E01	PUL4	NZ_UGGR01000002.1	50072	59566	susC-unk-susC-susD
GCF_900450525.1_59302_E01	PUL5	NZ_UGGR01000002.1	50072	59566	susC-unk-susC-susD
GCF_900450525.1_59302_E01	PUL6	NZ_UGGR01000002.1	60098	68053	susC-susD-unk-susC
GCF_900450525.1_59302_E01	PUL7	NZ_UGGR01000002.1	135024	140086	susC-susD
GCF_900450525.1_59302_E01	PUL8	NZ_UGGR01000002.1	302120	307116	susC-susD
GCF_900450525.1_59302_E01	PUL9	NZ_UGGR01000002.1	318767	323834	susC-susD
GCF_900450525.1_59302_E01	PUL10	NZ_UGGR01000002.1	381213	386147	susC-susD
GCF_900450525.1_59302_E01	PUL11	NZ_UGGR01000002.1	431543	436477	susD-susC
GCF_900450525.1_59302_E01	PUL12	NZ_UGGR01000002.1	477894	482622	susC-susD
GCF_900450525.1_59302_E01	PUL13	NZ_UGGR01000003.1	120294	148133	CE2-unk-GH3-unk-unk-GH97-GH5_7-GH26-unk-unk-GH130-unk-GH26-unk-unk-susC-susD-unk-GH27-GH5_2
GCF_900450525.1_59302_E01	PUL14	NZ_UGGR01000003.1	291741	296647	susD-susC
GCF_900450525.1_59302_E01	PUL15	NZ_UGGR01000003.1	313026	318081	susD-susC
GCF_900450525.1_59302_E01	PUL16	NZ_UGGR01000003.1	318929	351652	PL12_2-PL12_2-PL8_2-PL12_2-GH88-unk-unk-unk-GH3-unk-unk-unk-unk-susD-susC-unk-unk-unk-CE1
GCF_900450525.1_59302_E01	PUL17	NZ_UGGR01000003.1	389164	393967	susC-susD
GCF_900450525.1_59302_E01	PUL18	NZ_UGGR01000003.1	403830	413430	GH32-susC-susD-unk-GH32
GCF_900450525.1_59302_E01	PUL19	NZ_UGGR01000003.1	477580	482034	susD-susC
GCF_900450525.1_59302_E01	PUL20	NZ_UGGR01000003.1	699588	704282	susD-susC
GCF_900450525.1_59302_E01	PUL21	NZ_UGGR01000003.1	717952	722574	susD-susC
GCF_900450525.1_59302_E01	PUL22	NZ_UGGR01000003.1	778591	783425	susC-susD
GCF_900450525.1_59302_E01	PUL23	NZ_UGGR01000003.1	852718	867879	susC-susD-GH18-susC-susD-unk-GH20
GCF_900450525.1_59302_E01	PUL24	NZ_UGGR01000003.1	1065551	1075748	susC-susD-unk-GH10-unk-GH35
GCF_900450525.1_59302_E01	PUL25	NZ_UGGR01000003.1	1128943	1141706	susC-susD-GH5_13-GH43_18-GH2-GH43_26-unk-GH43_31
GCF_900450525.1_59302_E01	PUL26	NZ_UGGR01000003.1	1167135	1171489	susD-susC
GCF_900450525.1_59302_E01	PUL27	NZ_UGGR01000004.1	60368	70006	susC-susD-susC-susD
GCF_900450525.1_59302_E01	PUL28	NZ_UGGR01000004.1	308258	312977	susC-susD
GCF_900450525.1_59302_E01	PUL29	NZ_UGGR01000004.1	414704	440048	GH95-GH43_9-unk-GH5_4-GH3-GH39-GH97-GH31-GH2-unk-susD-susC
GCF_900450525.1_59302_E01	PUL30	NZ_UGGR01000004.1	744555	749143	susD-susC
GCF_900450525.1_59302_E01	PUL31	NZ_UGGR01000004.1	1095801	1112494	GH13_19-GH13-GH97-GH65-unk-unk-unk-susC-susD
GCF_900450525.1_59302_E01	PUL32	NZ_UGGR01000004.1	1322388	1338762	susC-susD-unk-GH30_1-GH30_3-GH5_46;CBM6-GH16-unk-GH30_3-GH3
GCF_900450525.1_59302_E01	PUL33	NZ_UGGR01000004.1	1667053	1688068	GH97-unk-unk-susC-susD-GH2-GH92-GH92-GH125-unk-GH130
GCF_900450525.1_59302_E01	PUL34	NZ_UGGR01000004.1	1784100	1788727	susC-susD
GCF_900450525.1_59302_E01	PUL35	NZ_UGGR01000005.1	92994	97203	susD-susC
GCF_900450525.1_59302_E01	PUL36	NZ_UGGR01000005.1	122725	130855	susC-susD-GH99-GH97
GCF_900450525.1_59302_E01	PUL37	NZ_UGGR01000005.1	199240	217774	GH28-susC-susD-CE10-unk-GH105-GH105-GH105-GH43_10-CE8;PL10_1-GH28-CE12
GCF_900450525.1_59302_E01	PUL38	NZ_UGGR01000005.1	251679	256742	susC-susD
GCF_900450525.1_59302_E01	PUL39	NZ_UGGR01000005.1	331136	367983	susC-susD-PL1_2-unk-PL1_2-PL29-GH140-GH28-GH43_18-GH143-CBM67;GH78-unk-GH95-GH142-CBM67;GH78-GH33-unk-GH138
GCF_900450525.1_59302_E01	PUL40	NZ_UGGR01000005.1	667857	673054	susD-susC
GCF_900450525.1_59302_E01	PUL41	NZ_UGGR01000005.1	835469	840467	susD-susC
GCF_900450525.1_59302_E01	PUL42	NZ_UGGR01000005.1	846769	851390	susD-susC
GCF_900450525.1_59302_E01	PUL43	NZ_UGGR01000006.1	1	11255	GH43_28-unk-GH3-CE1-GH144-susD-susC
GCF_900450525.1_59302_E01	PUL44	NZ_UGGR01000006.1	284434	289087	susC-susD
GCF_900450525.1_59302_E01	PUL45	NZ_UGGR01000006.1	303348	312975	susC-susD-unk-GH109-GH35
