genome	pulid	contigid	start	end	pattern
GCF_000264055.1_Flav123_1.0	PUL1	NZ_AJXL01000002.1	3219	7781	susC-susD
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1	709	19358	GH13_19-GH13-GH65-unk-unk-unk-susC-susD-unk-GH13_10
GCF_000264055.1_Flav123_1.0	PUL3	NZ_AJXL01000005.1	29375	33910	susC-susD
GCF_000264055.1_Flav123_1.0	PUL4	NZ_AJXL01000009.1	1619	6211	susC-susD
GCF_000264055.1_Flav123_1.0	PUL5	NZ_AJXL01000013.1	17124	28101	susC-susD-unk-GH16-GH3-GH16
GCF_000264055.1_Flav123_1.0	PUL6	NZ_AJXL01000024.1	34221	38744	susD-susC
GCF_000264055.1_Flav123_1.0	PUL7	NZ_AJXL01000028.1	25792	36807	susC-susD-unk-susC-susD
GCF_000264055.1_Flav123_1.0	PUL8	NZ_AJXL01000033.1	1318	13405	susC-susC-susD-unk-GH92-unk-unk-GH37
GCF_000264055.1_Flav123_1.0	PUL9	NZ_AJXL01000043.1	2668	14764	GH97-GH3-CE1-GH144-unk-susD-susC
GCF_000264055.1_Flav123_1.0	PUL10	NZ_AJXL01000081.1	79	4909	susC-susD
