genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_000708595.2	PUL1	NZ_JARP01000001.1_87	NZ_JARP01000001.1	90682	93681	-	0	NZ_JARP01000001.1_87		GH3	
GCF_000708595.2	PUL1	NZ_JARP01000001.1_88	NZ_JARP01000001.1	93744	95249	-	63	NZ_JARP01000001.1_88			
GCF_000708595.2	PUL1	NZ_JARP01000001.1_89	NZ_JARP01000001.1	95284	96105	-	35	NZ_JARP01000001.1_89			
GCF_000708595.2	PUL1	NZ_JARP01000001.1_90	NZ_JARP01000001.1	96247	97440	-	142	NZ_JARP01000001.1_90			
GCF_000708595.2	PUL1	NZ_JARP01000001.1_91	NZ_JARP01000001.1	97552	98454	-	112	NZ_JARP01000001.1_91			
GCF_000708595.2	PUL1	NZ_JARP01000001.1_92	NZ_JARP01000001.1	98482	100098	-	28	NZ_JARP01000001.1_92	susD		
GCF_000708595.2	PUL1	NZ_JARP01000001.1_93	NZ_JARP01000001.1	100109	103189	-	11	NZ_JARP01000001.1_93	susC		
GCF_000708595.2	PUL2	NZ_JARP01000001.1_366	NZ_JARP01000001.1	418523	421564	+	315334	NZ_JARP01000001.1_366	susC		
GCF_000708595.2	PUL2	NZ_JARP01000001.1_367	NZ_JARP01000001.1	421576	423075	+	12	NZ_JARP01000001.1_367	susD		
GCF_000708595.2	PUL2	NZ_JARP01000001.1_368	NZ_JARP01000001.1	423088	424641	+	13	NZ_JARP01000001.1_368			
GCF_000708595.2	PUL2	NZ_JARP01000001.1_369	NZ_JARP01000001.1	424654	426315	+	13	NZ_JARP01000001.1_369		GH16	
GCF_000708595.2	PUL2	NZ_JARP01000001.1_370	NZ_JARP01000001.1	426397	427155	+	82	NZ_JARP01000001.1_370		GH16	
GCF_000708595.2	PUL3	NZ_JARP01000001.1_581	NZ_JARP01000001.1	651036	654056	+	223881	NZ_JARP01000001.1_581	susC		
GCF_000708595.2	PUL3	NZ_JARP01000001.1_582	NZ_JARP01000001.1	654061	655515	+	5	NZ_JARP01000001.1_582	susD		
GCF_000708595.2	PUL3	NZ_JARP01000001.1_583	NZ_JARP01000001.1	655590	656963	+	75	NZ_JARP01000001.1_583		GH144	
GCF_000708595.2	PUL3	NZ_JARP01000001.1_584	NZ_JARP01000001.1	656975	657688	+	12	NZ_JARP01000001.1_584		CE1	
GCF_000708595.2	PUL3	NZ_JARP01000001.1_585	NZ_JARP01000001.1	657779	660079	+	91	NZ_JARP01000001.1_585		GH3	
GCF_000708595.2	PUL3	NZ_JARP01000001.1_586	NZ_JARP01000001.1	660195	662117	+	116	NZ_JARP01000001.1_586		CBM32;GH43_28	
GCF_000708595.2	PUL4	NZ_JARP01000001.1_846	NZ_JARP01000001.1	938232	941876	+	276115	NZ_JARP01000001.1_846	susC		
GCF_000708595.2	PUL4	NZ_JARP01000001.1_847	NZ_JARP01000001.1	941881	943305	+	5	NZ_JARP01000001.1_847	susD		
GCF_000708595.2	PUL5	NZ_JARP01000001.1_853	NZ_JARP01000001.1	950401	953577	+	7096	NZ_JARP01000001.1_853	susC		
GCF_000708595.2	PUL5	NZ_JARP01000001.1_854	NZ_JARP01000001.1	953589	955013	+	12	NZ_JARP01000001.1_854	susD		
