genome	pulid	contigid	start	end	pattern
GCF_902804485.1_CECT7796	PUL1	NZ_CADCST010000042.1	1573	8983	GH28-susC-susD-CE10
GCF_902804485.1_CECT7796	PUL2	NZ_CADCST010000045.1	20365	25306	susD-susC
GCF_902804485.1_CECT7796	PUL3	NZ_CADCST010000050.1	17193	31608	GH3-GH30_3-unk-CBM6;GH5_46-GH30_3-GH30_1-susD-susC
GCF_902804485.1_CECT7796	PUL4	NZ_CADCST010000053.1	24291	28969	susD-susC
GCF_902804485.1_CECT7796	PUL5	NZ_CADCST010000061.1	52666	62105	susC-unk-unk-susC-susD
GCF_902804485.1_CECT7796	PUL6	NZ_CADCST010000065.1	114064	118480	susD-susC
GCF_902804485.1_CECT7796	PUL7	NZ_CADCST010000065.1	129537	134157	susD-susC
GCF_902804485.1_CECT7796	PUL8	NZ_CADCST010000068.1	19937	30985	susD-susC-unk-PL29
GCF_902804485.1_CECT7796	PUL9	NZ_CADCST010000069.1	11955	17000	susC-susD
GCF_902804485.1_CECT7796	PUL10	NZ_CADCST010000073.1	2446	12057	susC-susD-unk-GH109-GH35
GCF_902804485.1_CECT7796	PUL11	NZ_CADCST010000077.1	76457	80917	susC-susD
GCF_902804485.1_CECT7796	PUL12	NZ_CADCST010000077.1	180208	184905	susD-susC
GCF_902804485.1_CECT7796	PUL13	NZ_CADCST010000079.1	23284	41743	GH125-GH92-GH92-GH2-susD-susC-unk-unk-GH97
GCF_902804485.1_CECT7796	PUL14	NZ_CADCST010000083.1	13489	22783	susC-susD-GH63-GH42
GCF_902804485.1_CECT7796	PUL15	NZ_CADCST010000083.1	68235	85004	susC-susD-unk-unk-susC-unk-unk-unk-susC
GCF_902804485.1_CECT7796	PUL16	NZ_CADCST010000084.1	20858	30698	susD-susC-susD-susC
GCF_902804485.1_CECT7796	PUL17	NZ_CADCST010000085.1	141700	156114	PL15-PL15-unk-unk-unk-susD-susC
GCF_902804485.1_CECT7796	PUL18	NZ_CADCST010000085.1	190313	195288	susD-susC
GCF_902804485.1_CECT7796	PUL19	NZ_CADCST010000096.1	38749	50812	susC-susD-GH144-CE1-GH3-unk-CBM32;GH43_28
GCF_902804485.1_CECT7796	PUL20	NZ_CADCST010000097.1	50989	55634	susC-susD
GCF_902804485.1_CECT7796	PUL21	NZ_CADCST010000098.1	152711	160482	CE1-unk-unk-susD-susC
GCF_902804485.1_CECT7796	PUL22	NZ_CADCST010000100.1	38949	60647	GH13_10-unk-susD-susC-unk-unk-unk-GH65-GH97-unk-GH13_20-GH13_19
GCF_902804485.1_CECT7796	PUL23	NZ_CADCST010000102.1	74774	89446	susD-susC-susD-susC-susD-susC
GCF_902804485.1_CECT7796	PUL24	NZ_CADCST010000104.1	4911	9422	susC-susD
GCF_902804485.1_CECT7796	PUL25	NZ_CADCST010000107.1	36579	40934	susD-susC
GCF_902804485.1_CECT7796	PUL26	NZ_CADCST010000119.1	43765	48986	susD-susC
GCF_902804485.1_CECT7796	PUL27	NZ_CADCST010000132.1	8273	22670	GH18-GH20-unk-susD-susC
GCF_902804485.1_CECT7796	PUL28	NZ_CADCST010000136.1	7481	11906	susC-susD
