genome	pulid	contigid	start	end	pattern
GCF_000282055.1_CF136.fsa	PUL1	NZ_AKJZ01000002.1	1170	6326	susC-susD
GCF_000282055.1_CF136.fsa	PUL2	NZ_AKJZ01000002.1	21979	59568	susC-susD-unk-GH5_4-CBM51-GH5_4-GH43_16-GH51-unk-unk-unk-GH74-GH29-unk-unk-GH44-GH51-CE6-GH2-GH97-GH3
GCF_000282055.1_CF136.fsa	PUL3	NZ_AKJZ01000007.1	47854	52575	susD-susC
GCF_000282055.1_CF136.fsa	PUL4	NZ_AKJZ01000007.1	276845	286544	susC-susD-unk-CE8
GCF_000282055.1_CF136.fsa	PUL5	NZ_AKJZ01000010.1	25239	44151	GH13_20-GH97-GH65-unk-unk-unk-susC-susD-unk-GH13_10
GCF_000282055.1_CF136.fsa	PUL6	NZ_AKJZ01000010.1	121484	140847	susC-unk-unk-unk-unk-GH3-unk-GH3-GH30_1-susD-susC
GCF_000282055.1_CF136.fsa	PUL7	NZ_AKJZ01000012.1	19528	28459	GH20-unk-susD-susC
GCF_000282055.1_CF136.fsa	PUL8	NZ_AKJZ01000012.1	77802	96607	susC-susD-unk-unk-susC-susD-unk-unk-unk-unk-GH42
GCF_000282055.1_CF136.fsa	PUL9	NZ_AKJZ01000014.1	22477	27129	susC-susD
GCF_000282055.1_CF136.fsa	PUL10	NZ_AKJZ01000014.1	37557	42552	susD-susC
GCF_000282055.1_CF136.fsa	PUL11	NZ_AKJZ01000015.1	82007	104190	GH97-GH5_7-GH51-GH26-unk-unk-GH130-unk-GH26-unk-susC-susD-unk-GH27-GH5_2
GCF_000282055.1_CF136.fsa	PUL12	NZ_AKJZ01000016.1	114001	118617	susD-susC
GCF_000282055.1_CF136.fsa	PUL13	NZ_AKJZ01000016.1	174760	185163	GH35-GH10-unk-susD-susC
GCF_000282055.1_CF136.fsa	PUL14	NZ_AKJZ01000018.1	6232	25914	GH28-unk-unk-unk-GH92-GH92-susD-susC-unk-GH89
GCF_000282055.1_CF136.fsa	PUL15	NZ_AKJZ01000018.1	36714	47114	GH2-GH53-GH53-unk-susD-susC
GCF_000282055.1_CF136.fsa	PUL16	NZ_AKJZ01000021.1	17383	22424	susD-susC
GCF_000282055.1_CF136.fsa	PUL17	NZ_AKJZ01000021.1	38841	48173	CE10-unk-unk-susD-susC
GCF_000282055.1_CF136.fsa	PUL18	NZ_AKJZ01000022.1	67651	93837	GH95-GH43_9-unk-GH5_4-GH5_4-GH3-GH39-GH97-GH31-GH2-unk-susD-susC
GCF_000282055.1_CF136.fsa	PUL19	NZ_AKJZ01000024.1	7536	24141	GH28;CBM6-CE8;CBM6-GH28-GH43_10-unk-susD-susC
GCF_000282055.1_CF136.fsa	PUL20	NZ_AKJZ01000027.1	24199	28815	susC-susD
GCF_000282055.1_CF136.fsa	PUL21	NZ_AKJZ01000027.1	43924	48311	susC-susD
GCF_000282055.1_CF136.fsa	PUL22	NZ_AKJZ01000027.1	69441	74111	susC-susD
GCF_000282055.1_CF136.fsa	PUL23	NZ_AKJZ01000030.1	123	22708	GH27-susD-susC-GH2-GH43_24-GH51-susD-susC-unk-unk-GH88-GH146
GCF_000282055.1_CF136.fsa	PUL24	NZ_AKJZ01000032.1	4474	13172	GH16-GH16-unk-susD-susC
GCF_000282055.1_CF136.fsa	PUL25	NZ_AKJZ01000033.1	6249	21954	GH16-GH10-unk-susD-susC-unk-GH3
GCF_000282055.1_CF136.fsa	PUL26	NZ_AKJZ01000033.1	38314	48514	GH128;CBM62-susD-susC
GCF_000282055.1_CF136.fsa	PUL27	NZ_AKJZ01000034.1	13753	18977	susD-susC
GCF_000282055.1_CF136.fsa	PUL28	NZ_AKJZ01000040.1	150611	166328	susC-susD-GH43_5-GH51-GH43_4-GH43_29-GH146-GH43_5-GH51
GCF_000282055.1_CF136.fsa	PUL29	NZ_AKJZ01000049.1	47979	62057	GH43_34;GH43_19-GH27-GH2-GH30_4-GH30_4-susD-susC
GCF_000282055.1_CF136.fsa	PUL30	NZ_AKJZ01000051.1	14389	57619	GH2-GH2;CBM57-GH138-unk-GH33-CBM67;GH78-GH142-unk-GH95-unk-GH78;CBM67-GH143-GH43_18-GH28-GH140-unk-PL1_2-unk-PL1_2-susD-susC
GCF_000282055.1_CF136.fsa	PUL31	NZ_AKJZ01000055.1	21873	39599	susC-unk-unk-unk-unk-susC-susD-unk-GH144-GH3
GCF_000282055.1_CF136.fsa	PUL32	NZ_AKJZ01000057.1	20604	25665	susC-susD
GCF_000282055.1_CF136.fsa	PUL33	NZ_AKJZ01000061.1	234	57697	CBM32;GH29-unk-unk-unk-GH92-unk-GH130-CBM9-GH18-GH92-unk-GH2-GH20-GH29-GH92-GH3-susC-susD-unk-unk-unk-GH33-unk-unk-unk-unk-susD-susC-unk-unk-susD-susC
GCF_000282055.1_CF136.fsa	PUL34	NZ_AKJZ01000074.1	37690	51656	CE10;GH43_18-GH2-GH105-GH106-susC-susD
GCF_000282055.1_CF136.fsa	PUL35	NZ_AKJZ01000074.1	37690	51656	CE10;GH43_18-GH2-GH105-GH106-susC-susD
GCF_000282055.1_CF136.fsa	PUL36	NZ_AKJZ01000074.1	52233	61266	susC-susD-unk-GH159-GH117
GCF_000282055.1_CF136.fsa	PUL37	NZ_AKJZ01000101.1	40608	49706	GH32-susC-susD-GH36
GCF_000282055.1_CF136.fsa	PUL38	NZ_AKJZ01000108.1	6877	15868	GH97-unk-unk-susC-susD
