genome	pulid	contigid	start	end	pattern
GCF_001422725.1_Leaf82	PUL1	NZ_LMMA01000001.1	212987	226231	GH13;CBM26-GH97-GH13-unk-susD-susC
GCF_001422725.1_Leaf82	PUL2	NZ_LMMA01000001.1	446644	463862	GH13_19-GH13_20-unk-GH97-GH65-unk-unk-unk-susC-susD
GCF_001422725.1_Leaf82	PUL3	NZ_LMMA01000001.1	665720	680272	susC-susD-GH30_1-GH30_1-GH3-CBM6;GH5_46-GH3
GCF_001422725.1_Leaf82	PUL4	NZ_LMMA01000002.1	64204	68904	susC-susD
GCF_001422725.1_Leaf82	PUL5	NZ_LMMA01000003.1	53945	63448	susC-susD-susC-susD
GCF_001422725.1_Leaf82	PUL6	NZ_LMMA01000006.1	60715	78949	GH125-GH92-GH92-GH2-susD-susC-unk-unk-GH97
GCF_001422725.1_Leaf82	PUL7	NZ_LMMA01000008.1	49931	54875	susD-susC
GCF_001422725.1_Leaf82	PUL8	NZ_LMMA01000011.1	9112	21805	GH43_31-unk-GH43_26-GH2-GH43_18-GH5_13-susD-susC
GCF_001422725.1_Leaf82	PUL9	NZ_LMMA01000012.1	277448	302198	susC-susD-unk-GH2-GH31-GH97-GH39-GH3-GH5_4-unk-GH43_9-GH95
GCF_001422725.1_Leaf82	PUL10	NZ_LMMA01000012.1	420211	425014	susD-susC
GCF_001422725.1_Leaf82	PUL11	NZ_LMMA01000013.1	22200	29064	susC-susD-GH35
GCF_001422725.1_Leaf82	PUL12	NZ_LMMA01000014.1	3503	8133	susC-susD
GCF_001422725.1_Leaf82	PUL13	NZ_LMMA01000018.1	230	5292	susC-susD
GCF_001422725.1_Leaf82	PUL14	NZ_LMMA01000023.1	49417	63554	GH18-GH20-unk-susD-susC
GCF_001422725.1_Leaf82	PUL15	NZ_LMMA01000023.1	64144	68918	susD-susC
GCF_001422725.1_Leaf82	PUL16	NZ_LMMA01000023.1	119529	155059	GH33-unk-susD-susC-GH3-GH92-GH29-GH20-GH2-unk-unk-CBM9-GH130-unk-GH92-unk-unk-unk-CBM32;GH29
GCF_001422725.1_Leaf82	PUL17	NZ_LMMA01000023.1	249633	254046	susD-susC
GCF_001422725.1_Leaf82	PUL18	NZ_LMMA01000023.1	339338	343957	susC-susD
GCF_001422725.1_Leaf82	PUL19	NZ_LMMA01000032.1	113123	121856	susC-susD-unk-GH16-GH16
GCF_001422725.1_Leaf82	PUL20	NZ_LMMA01000032.1	422908	434700	susC-susD-GH144-CE1-GH3-unk-CBM32;GH43_28
GCF_001422725.1_Leaf82	PUL21	NZ_LMMA01000032.1	637713	651946	susD-susC-unk-unk-GH36-unk-unk-susC
GCF_001422725.1_Leaf82	PUL22	NZ_LMMA01000032.1	697099	701765	susD-susC
GCF_001422725.1_Leaf82	PUL23	NZ_LMMA01000032.1	762898	767544	susC-susD
GCF_001422725.1_Leaf82	PUL24	NZ_LMMA01000033.1	38463	63180	CE2-unk-GH3-unk-unk-unk-GH5_7-unk-GH130-unk-GH26-unk-susC-susD-unk-unk-GH27-GH5_2
GCF_001422725.1_Leaf82	PUL25	NZ_LMMA01000035.1	26526	30963	susD-susC
GCF_001422725.1_Leaf82	PUL26	NZ_LMMA01000035.1	73052	81290	susC-susD-GH99-GH97
GCF_001422725.1_Leaf82	PUL27	NZ_LMMA01000035.1	170953	189628	GH28-susC-susD-CE10-unk-GH105-GH105-GH105-GH43_10-PL10_1;CE8-unk-GH28-CE12
GCF_001422725.1_Leaf82	PUL28	NZ_LMMA01000035.1	192010	220954	GH105-GH106-susC-susD-unk-GH117-unk-unk-GH28-unk-CE12-GH2-unk-unk-PL11_1
GCF_001422725.1_Leaf82	PUL29	NZ_LMMA01000036.1	79371	122734	GH2-GH2;CBM57-GH138-unk-GH33-GH78;CBM67-GH142-GH95-unk-GH78;CBM67-GH143-GH43_18-GH28-GH140-PL29-unk-PL1_2-unk-PL1_2-susD-susC
GCF_001422725.1_Leaf82	PUL30	NZ_LMMA01000036.1	178802	190620	susD-susC-unk-unk-unk-unk-GH3
GCF_001422725.1_Leaf82	PUL31	NZ_LMMA01000036.1	224697	246974	susD-susC-unk-unk-unk-unk-CBM6;CBM13-GH18;CBM6-CBM6;CBM13;GH64-CBM32;GH16
GCF_001422725.1_Leaf82	PUL32	NZ_LMMA01000036.1	259478	277730	PL29-unk-unk-susC-susD-GH88-GH2-unk-GH2
GCF_001422725.1_Leaf82	PUL33	NZ_LMMA01000037.1	71909	79895	susC-unk-susD-susC
