genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_014050215.1_ASM1405021v1	PUL1	NZ_JACFYW010000002.1_15	NZ_JACFYW010000002.1	19479	22478	+	0	NZ_JACFYW010000002.1_15	susC		
GCF_014050215.1_ASM1405021v1	PUL1	NZ_JACFYW010000002.1_16	NZ_JACFYW010000002.1	22489	23853	+	11	NZ_JACFYW010000002.1_16	susD		
GCF_014050215.1_ASM1405021v1	PUL2	NZ_JACFYW010000006.1_144	NZ_JACFYW010000006.1	134321	135694	-	110468	NZ_JACFYW010000006.1_144	susD		
GCF_014050215.1_ASM1405021v1	PUL2	NZ_JACFYW010000006.1_145	NZ_JACFYW010000006.1	135718	138696	-	24	NZ_JACFYW010000006.1_145	susC		
GCF_014050215.1_ASM1405021v1	PUL3	NZ_JACFYW010000006.1_230	NZ_JACFYW010000006.1	220644	223868	+	81948	NZ_JACFYW010000006.1_230	susC		
GCF_014050215.1_ASM1405021v1	PUL3	NZ_JACFYW010000006.1_231	NZ_JACFYW010000006.1	223881	225323	+	13	NZ_JACFYW010000006.1_231	susD		
GCF_014050215.1_ASM1405021v1	PUL4	NZ_JACFYW010000009.1_131	NZ_JACFYW010000009.1	145881	148958	+	-79442	NZ_JACFYW010000009.1_131	susC		
GCF_014050215.1_ASM1405021v1	PUL4	NZ_JACFYW010000009.1_132	NZ_JACFYW010000009.1	148965	150350	+	7	NZ_JACFYW010000009.1_132	susD		
GCF_014050215.1_ASM1405021v1	PUL4	NZ_JACFYW010000009.1_133	NZ_JACFYW010000009.1	150400	150999	-	50	NZ_JACFYW010000009.1_133			
GCF_014050215.1_ASM1405021v1	PUL4	NZ_JACFYW010000009.1_134	NZ_JACFYW010000009.1	151104	153185	+	105	NZ_JACFYW010000009.1_134			
GCF_014050215.1_ASM1405021v1	PUL4	NZ_JACFYW010000009.1_135	NZ_JACFYW010000009.1	153310	156351	+	125	NZ_JACFYW010000009.1_135	susC		
GCF_014050215.1_ASM1405021v1	PUL4	NZ_JACFYW010000009.1_136	NZ_JACFYW010000009.1	156364	157938	+	13	NZ_JACFYW010000009.1_136	susD		
