genome	pulid	contigid	start	end	pattern
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL1	NZ_CAGKLC010000001.1	156034	165879	susD-susC-susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL2	NZ_CAGKLC010000009.1	66417	71462	susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL3	NZ_CAGKLC010000010.1	19032	23708	susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL4	NZ_CAGKLC010000012.1	45530	55205	susC-susD-susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL5	NZ_CAGKLC010000012.1	45530	55205	susC-susD-susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL6	NZ_CAGKLC010000012.1	55755	60295	susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL7	NZ_CAGKLC010000013.1	25132	29807	susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL8	NZ_CAGKLC010000013.1	58485	70512	susC-unk-unk-unk-unk-susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL9	NZ_CAGKLC010000015.1	44138	54622	GH35-GH109-unk-unk-susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL10	NZ_CAGKLC010000015.1	66858	71504	susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL11	NZ_CAGKLC010000016.1	39168	53982	susC-susD-unk-unk-CE1-unk-unk-unk-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL12	NZ_CAGKLC010000017.1	34778	39433	susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL13	NZ_CAGKLC010000021.1	13015	17108	susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL14	NZ_CAGKLC010000022.1	48818	64506	GH3-unk-GH5_46;CBM6-GH3-GH30_1-GH30_1-susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL15	NZ_CAGKLC010000027.1	33011	38066	susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL16	NZ_CAGKLC010000039.1	4148	21954	GT5-unk-unk-unk-unk-susD-susC-unk-unk-unk-unk-CE1-unk-GT51
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL17	NZ_CAGKLC010000043.1	17923	36787	GH13_20-GH97-GH65-unk-unk-unk-susC-susD-unk-GH13_10
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL18	NZ_CAGKLC010000046.1	20411	29865	susC-unk-unk-susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL19	NZ_CAGKLC010000047.1	15728	35948	GH43_28;CBM32-unk-unk-GH3-GH144-susD-susC-unk-unk-unk-unk-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL20	NZ_CAGKLC010000051.1	12663	24589	susC-unk-unk-unk-unk-susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL21	NZ_CAGKLC010000058.1	23675	28896	susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL22	NZ_CAGKLC010000060.1	125	4541	susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL23	NZ_CAGKLC010000063.1	13791	18410	susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL24	NZ_CAGKLC010000066.1	23098	27450	susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL25	NZ_CAGKLC010000084.1	859	5277	susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL26	NZ_CAGKLC010000085.1	7474	18961	susC-unk-unk-unk-susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL27	NZ_CAGKLC010000092.1	11853	16481	susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL28	NZ_CAGKLC010000124.1	1754	6226	susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL29	NZ_CAGKLC010000134.1	1107	8523	CE10-susD-susC-GH28
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL30	NZ_CAGKLC010000140.1	3014	7495	susD-susC
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL31	NZ_CAGKLC010000157.1	78	4695	susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL32	NZ_CAGKLC010000158.1	954	5915	susC-susD
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL33	NZ_CAGKLC010000183.1	91	4717	susD-susC
