genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_000264055.1_Flav123_1.0	PUL1	NZ_AJXL01000002.1_3	NZ_AJXL01000002.1	3219	6227	+	0	NZ_AJXL01000002.1_3	susC		
GCF_000264055.1_Flav123_1.0	PUL1	NZ_AJXL01000002.1_4	NZ_AJXL01000002.1	6261	7781	+	34	NZ_AJXL01000002.1_4	susD		
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1_2	NZ_AJXL01000004.1	709	2373	-	-7072	NZ_AJXL01000004.1_2		GH13_19	
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1_3	NZ_AJXL01000004.1	2541	4418	-	168	NZ_AJXL01000004.1_3		GH13	
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1_4	NZ_AJXL01000004.1	4634	6949	-	216	NZ_AJXL01000004.1_4		GH65	
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1_5	NZ_AJXL01000004.1	7051	7704	-	102	NZ_AJXL01000004.1_5			
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1_6	NZ_AJXL01000004.1	7697	9226	-	-7	NZ_AJXL01000004.1_6			
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1_7	NZ_AJXL01000004.1	9520	10608	-	294	NZ_AJXL01000004.1_7			
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1_8	NZ_AJXL01000004.1	10783	13722	+	175	NZ_AJXL01000004.1_8	susC		
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1_9	NZ_AJXL01000004.1	13740	15332	+	18	NZ_AJXL01000004.1_9	susD		
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1_10	NZ_AJXL01000004.1	15354	16412	+	22	NZ_AJXL01000004.1_10			
GCF_000264055.1_Flav123_1.0	PUL2	NZ_AJXL01000004.1_11	NZ_AJXL01000004.1	16482	19358	+	70	NZ_AJXL01000004.1_11		GH13_10	
GCF_000264055.1_Flav123_1.0	PUL3	NZ_AJXL01000005.1_32	NZ_AJXL01000005.1	29375	32419	+	10017	NZ_AJXL01000005.1_32	susC		
GCF_000264055.1_Flav123_1.0	PUL3	NZ_AJXL01000005.1_33	NZ_AJXL01000005.1	32432	33910	+	13	NZ_AJXL01000005.1_33	susD		
GCF_000264055.1_Flav123_1.0	PUL4	NZ_AJXL01000009.1_2	NZ_AJXL01000009.1	1619	4801	+	-32291	NZ_AJXL01000009.1_2	susC		
GCF_000264055.1_Flav123_1.0	PUL4	NZ_AJXL01000009.1_3	NZ_AJXL01000009.1	4946	6211	+	145	NZ_AJXL01000009.1_3	susD		
GCF_000264055.1_Flav123_1.0	PUL5	NZ_AJXL01000013.1_15	NZ_AJXL01000013.1	17124	20171	+	10913	NZ_AJXL01000013.1_15	susC		
GCF_000264055.1_Flav123_1.0	PUL5	NZ_AJXL01000013.1_16	NZ_AJXL01000013.1	20183	21661	+	12	NZ_AJXL01000013.1_16	susD		
GCF_000264055.1_Flav123_1.0	PUL5	NZ_AJXL01000013.1_17	NZ_AJXL01000013.1	21676	23301	+	15	NZ_AJXL01000013.1_17			
GCF_000264055.1_Flav123_1.0	PUL5	NZ_AJXL01000013.1_18	NZ_AJXL01000013.1	23252	24952	+	-49	NZ_AJXL01000013.1_18		GH16	
GCF_000264055.1_Flav123_1.0	PUL5	NZ_AJXL01000013.1_19	NZ_AJXL01000013.1	25036	27339	+	84	NZ_AJXL01000013.1_19		GH3	
GCF_000264055.1_Flav123_1.0	PUL5	NZ_AJXL01000013.1_20	NZ_AJXL01000013.1	27346	28101	+	7	NZ_AJXL01000013.1_20		GH16	
GCF_000264055.1_Flav123_1.0	PUL6	NZ_AJXL01000024.1_33	NZ_AJXL01000024.1	34221	35612	-	6120	NZ_AJXL01000024.1_33	susD		
GCF_000264055.1_Flav123_1.0	PUL6	NZ_AJXL01000024.1_34	NZ_AJXL01000024.1	35712	38744	-	100	NZ_AJXL01000024.1_34	susC		
GCF_000264055.1_Flav123_1.0	PUL7	NZ_AJXL01000028.1_39	NZ_AJXL01000028.1	25792	29049	+	-12952	NZ_AJXL01000028.1_39	susC		
GCF_000264055.1_Flav123_1.0	PUL7	NZ_AJXL01000028.1_40	NZ_AJXL01000028.1	29061	30497	+	12	NZ_AJXL01000028.1_40	susD		
GCF_000264055.1_Flav123_1.0	PUL7	NZ_AJXL01000028.1_41	NZ_AJXL01000028.1	30939	31673	+	442	NZ_AJXL01000028.1_41			
GCF_000264055.1_Flav123_1.0	PUL7	NZ_AJXL01000028.1_42	NZ_AJXL01000028.1	32087	35149	+	414	NZ_AJXL01000028.1_42	susC		
GCF_000264055.1_Flav123_1.0	PUL7	NZ_AJXL01000028.1_43	NZ_AJXL01000028.1	35167	36807	+	18	NZ_AJXL01000028.1_43	susD		
GCF_000264055.1_Flav123_1.0	PUL8	NZ_AJXL01000033.1_2	NZ_AJXL01000033.1	1318	2952	+	-35489	NZ_AJXL01000033.1_2	susC		
GCF_000264055.1_Flav123_1.0	PUL8	NZ_AJXL01000033.1_3	NZ_AJXL01000033.1	3106	4653	+	154	NZ_AJXL01000033.1_3	susC		
GCF_000264055.1_Flav123_1.0	PUL8	NZ_AJXL01000033.1_4	NZ_AJXL01000033.1	4664	6331	+	11	NZ_AJXL01000033.1_4	susD		
GCF_000264055.1_Flav123_1.0	PUL8	NZ_AJXL01000033.1_5	NZ_AJXL01000033.1	6389	7651	+	58	NZ_AJXL01000033.1_5			
GCF_000264055.1_Flav123_1.0	PUL8	NZ_AJXL01000033.1_6	NZ_AJXL01000033.1	7656	9740	+	5	NZ_AJXL01000033.1_6		GH92	
GCF_000264055.1_Flav123_1.0	PUL8	NZ_AJXL01000033.1_7	NZ_AJXL01000033.1	9921	10049	-	181	NZ_AJXL01000033.1_7			
GCF_000264055.1_Flav123_1.0	PUL8	NZ_AJXL01000033.1_8	NZ_AJXL01000033.1	10311	11537	+	262	NZ_AJXL01000033.1_8			
GCF_000264055.1_Flav123_1.0	PUL8	NZ_AJXL01000033.1_9	NZ_AJXL01000033.1	11522	13405	+	-15	NZ_AJXL01000033.1_9		GH37	
