genome	pulid	contigid	start	end	pattern
GCF_902167275.1_flavo_1	PUL1	NZ_CABHLW010000004.1	111432	116442	susD-susC
GCF_902167275.1_flavo_1	PUL2	NZ_CABHLW010000004.1	147190	216387	susC-susD-unk-unk-unk-unk-CE10;GH43_18-GH2-GH105-GH106-susC-susD-susC-susD-susC-susD-unk-GH159-unk-GH105-unk-GH43_24-GH28-GH115-CE12-GH2-CE12-unk-unk-PL11_1-unk-unk-unk-unk-GH28
GCF_902167275.1_flavo_1	PUL3	NZ_CABHLW010000004.1	244344	271883	susC-susD-unk-GH43_10-GH105-GH28-GH43_10-CE8-CE10-PL1_2;CE8;CBM6-unk-GH106
GCF_902167275.1_flavo_1	PUL4	NZ_CABHLW010000004.1	566811	572026	susD-susC
GCF_902167275.1_flavo_1	PUL5	NZ_CABHLW010000004.1	657271	661735	susC-susD
GCF_902167275.1_flavo_1	PUL6	NZ_CABHLW010000004.1	840902	845656	susC-susD
GCF_902167275.1_flavo_1	PUL7	NZ_CABHLW010000004.1	892211	934776	GH28-CE12-GH95-GH43_10-PL11-CE8-PL1_2-unk-susD-susC-GH95-GH97-unk-unk-unk-unk-GH154-GH43_17-GH43_24-GH16-GH128-susD-susC
GCF_902167275.1_flavo_1	PUL8	NZ_CABHLW010000004.1	999805	1004806	susD-susC
GCF_902167275.1_flavo_1	PUL9	NZ_CABHLW010000004.1	1008530	1018129	GH125-unk-unk-unk-susD-susC
GCF_902167275.1_flavo_1	PUL10	NZ_CABHLW010000004.1	1021865	1026950	susD-susC
GCF_902167275.1_flavo_1	PUL11	NZ_CABHLW010000004.1	1055718	1060664	susC-susD
GCF_902167275.1_flavo_1	PUL12	NZ_CABHLW010000004.1	1200242	1205097	susC-susC-susD
GCF_902167275.1_flavo_1	PUL13	NZ_CABHLW010000004.1	1393070	1404847	GH43_28;CBM32-unk-GH3-CE1-GH144-susD-susC
GCF_902167275.1_flavo_1	PUL14	NZ_CABHLW010000004.1	1446301	1450725	susD-susC
GCF_902167275.1_flavo_1	PUL15	NZ_CABHLW010000004.1	1855797	1863435	susC-susD-unk-GH109
GCF_902167275.1_flavo_1	PUL16	NZ_CABHLW010000004.1	2141630	2155669	CE1-unk-susC-susD-unk-unk-unk-GH3
GCF_902167275.1_flavo_1	PUL17	NZ_CABHLW010000004.1	2195528	2213982	GH97-unk-unk-GH43_10-unk-GH28-unk-unk-unk-susD-susC
GCF_902167275.1_flavo_1	PUL18	NZ_CABHLW010000004.1	2225829	2241634	GH20-GH92-unk-unk-unk-unk-susD-susC
GCF_902167275.1_flavo_1	PUL19	NZ_CABHLW010000004.1	2345453	2350047	susD-susC
GCF_902167275.1_flavo_1	PUL20	NZ_CABHLW010000004.1	2361233	2366220	susD-susC
GCF_902167275.1_flavo_1	PUL21	NZ_CABHLW010000004.1	2372539	2382842	GH35-GH10-unk-susD-susC
GCF_902167275.1_flavo_1	PUL22	NZ_CABHLW010000004.1	2944531	2959036	GH3-GH30_3-unk-GH16-GH30_3-GH30_1-unk-susD-susC
GCF_902167275.1_flavo_1	PUL23	NZ_CABHLW010000004.1	2960981	2965937	susD-susC
GCF_902167275.1_flavo_1	PUL24	NZ_CABHLW010000004.1	3165745	3186813	GH13_10-unk-susD-susC-unk-unk-unk-GH65-GH97-CE1-GH13_20-GH13_19
GCF_902167275.1_flavo_1	PUL25	NZ_CABHLW010000004.1	3897233	3916555	susC-susD-unk-GH2-GH31-GH97-GH39-GH3-GH5_4
GCF_902167275.1_flavo_1	PUL26	NZ_CABHLW010000004.1	4016287	4021534	susC-susD
GCF_902167275.1_flavo_1	PUL27	NZ_CABHLW010000004.1	4291562	4296245	susD-susC
GCF_902167275.1_flavo_1	PUL28	NZ_CABHLW010000004.1	4428995	4437415	susC-susD-unk-unk-susC
GCF_902167275.1_flavo_1	PUL29	NZ_CABHLW010000004.1	4509530	4514595	susC-susD
GCF_902167275.1_flavo_1	PUL30	NZ_CABHLW010000004.1	4524337	4534879	susC-susD-GH10-unk-GH50-GH2
GCF_902167275.1_flavo_1	PUL31	NZ_CABHLW010000004.1	4788084	4816224	CE2-unk-GH3-unk-unk-GH97-GH5_7-GH26-unk-unk-GH130-unk-GH26-unk-susC-susD-unk-unk-GH27-GH5_2
GCF_902167275.1_flavo_1	PUL32	NZ_CABHLW010000004.1	4968407	4973336	susC-susD
