genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL1	NZ_CAGKLC010000001.1_132	NZ_CAGKLC010000001.1	156034	157614	-	0	NZ_CAGKLC010000001.1_132	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL1	NZ_CAGKLC010000001.1_133	NZ_CAGKLC010000001.1	157601	160756	-	-13	NZ_CAGKLC010000001.1_133	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL1	NZ_CAGKLC010000001.1_134	NZ_CAGKLC010000001.1	161122	162624	-	366	NZ_CAGKLC010000001.1_134	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL1	NZ_CAGKLC010000001.1_135	NZ_CAGKLC010000001.1	162643	165879	-	19	NZ_CAGKLC010000001.1_135	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL2	NZ_CAGKLC010000009.1_62	NZ_CAGKLC010000009.1	66417	68213	-	-99462	NZ_CAGKLC010000009.1_62	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL2	NZ_CAGKLC010000009.1_63	NZ_CAGKLC010000009.1	68232	71462	-	19	NZ_CAGKLC010000009.1_63	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL3	NZ_CAGKLC010000010.1_13	NZ_CAGKLC010000010.1	19032	20489	-	-52430	NZ_CAGKLC010000010.1_13	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL3	NZ_CAGKLC010000010.1_14	NZ_CAGKLC010000010.1	20502	23708	-	13	NZ_CAGKLC010000010.1_14	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL4	NZ_CAGKLC010000012.1_55	NZ_CAGKLC010000012.1	45530	48742	+	21822	NZ_CAGKLC010000012.1_55	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL5	NZ_CAGKLC010000012.1_55	NZ_CAGKLC010000012.1	45530	48742	+	-9675	NZ_CAGKLC010000012.1_55	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL4	NZ_CAGKLC010000012.1_56	NZ_CAGKLC010000012.1	48754	50256	+	12	NZ_CAGKLC010000012.1_56	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL5	NZ_CAGKLC010000012.1_56	NZ_CAGKLC010000012.1	48754	50256	+	12	NZ_CAGKLC010000012.1_56	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL4	NZ_CAGKLC010000012.1_57	NZ_CAGKLC010000012.1	50571	53756	+	315	NZ_CAGKLC010000012.1_57	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL5	NZ_CAGKLC010000012.1_57	NZ_CAGKLC010000012.1	50571	53756	+	315	NZ_CAGKLC010000012.1_57	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL4	NZ_CAGKLC010000012.1_58	NZ_CAGKLC010000012.1	53772	55205	+	16	NZ_CAGKLC010000012.1_58	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL5	NZ_CAGKLC010000012.1_58	NZ_CAGKLC010000012.1	53772	55205	+	16	NZ_CAGKLC010000012.1_58	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL6	NZ_CAGKLC010000012.1_59	NZ_CAGKLC010000012.1	55755	58835	+	550	NZ_CAGKLC010000012.1_59	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL6	NZ_CAGKLC010000012.1_60	NZ_CAGKLC010000012.1	58853	60295	+	18	NZ_CAGKLC010000012.1_60	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL7	NZ_CAGKLC010000013.1_21	NZ_CAGKLC010000013.1	25132	28476	+	-35163	NZ_CAGKLC010000013.1_21	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL7	NZ_CAGKLC010000013.1_22	NZ_CAGKLC010000013.1	28488	29807	+	12	NZ_CAGKLC010000013.1_22	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL8	NZ_CAGKLC010000013.1_48	NZ_CAGKLC010000013.1	58485	60854	+	28678	NZ_CAGKLC010000013.1_48	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL8	NZ_CAGKLC010000013.1_49	NZ_CAGKLC010000013.1	60863	62311	+	9	NZ_CAGKLC010000013.1_49			
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL8	NZ_CAGKLC010000013.1_50	NZ_CAGKLC010000013.1	62313	63659	+	2	NZ_CAGKLC010000013.1_50			
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL8	NZ_CAGKLC010000013.1_51	NZ_CAGKLC010000013.1	63946	64545	+	287	NZ_CAGKLC010000013.1_51			
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL8	NZ_CAGKLC010000013.1_52	NZ_CAGKLC010000013.1	64613	65722	+	68	NZ_CAGKLC010000013.1_52			
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL8	NZ_CAGKLC010000013.1_53	NZ_CAGKLC010000013.1	65856	69050	+	134	NZ_CAGKLC010000013.1_53	susC		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL8	NZ_CAGKLC010000013.1_54	NZ_CAGKLC010000013.1	69055	70512	+	5	NZ_CAGKLC010000013.1_54	susD		
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL9	NZ_CAGKLC010000015.1_42	NZ_CAGKLC010000015.1	44138	45991	-	-26374	NZ_CAGKLC010000015.1_42		GH35	
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL9	NZ_CAGKLC010000015.1_43	NZ_CAGKLC010000015.1	46079	47458	-	88	NZ_CAGKLC010000015.1_43		GH109	
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL9	NZ_CAGKLC010000015.1_44	NZ_CAGKLC010000015.1	47695	49020	-	237	NZ_CAGKLC010000015.1_44			
GCF_903469665.1_Flavobacterium_sp._UBG4466	PUL9	NZ_CAGKLC010000015.1_45	NZ_CAGKLC010000015.1	49121	49741	-	101	NZ_CAGKLC010000015.1_45			
