genome	pulid	contigid	start	end	pattern
GCF_001429765.1_Root901	PUL1	NZ_LMJB01000001.1	38501	73707	susC-susD-unk-GH10-GH16-unk-unk-CE1-GH8-GH43_29-susD-susC-GH97-GH43_10-GH115-CE1;CE6-unk-GH43_12-susD-susC
GCF_001429765.1_Root901	PUL2	NZ_LMJB01000001.1	84836	106878	GH3-unk-susD-susC-unk-GH31-CBM13;GH43_34-unk-susD-susC
GCF_001429765.1_Root901	PUL3	NZ_LMJB01000001.1	125548	143604	GH97-unk-GH92-GH125-GH92-GH2-GH76-unk-susD-susC
GCF_001429765.1_Root901	PUL4	NZ_LMJB01000001.1	235807	256068	GH18-GH20-unk-susD-susC-GH18-susD-susC
GCF_001429765.1_Root901	PUL5	NZ_LMJB01000001.1	371793	376411	susC-susD
GCF_001429765.1_Root901	PUL6	NZ_LMJB01000001.1	388880	393266	susC-susD
GCF_001429765.1_Root901	PUL7	NZ_LMJB01000001.1	417997	422666	susC-susD
GCF_001429765.1_Root901	PUL8	NZ_LMJB01000001.1	676213	701835	GH5_2-GH27-unk-susD-susC-unk-GH26-unk-GH130-unk-GH26-GH5_7-GH97-unk-GH3-unk-CE2
GCF_001429765.1_Root901	PUL9	NZ_LMJB01000005.1	85366	103009	GH3-GH30_3-unk-GH16-GH5_46;CBM6-GH30_3-GH30_1-GH30_1-unk-susD-susC
GCF_001429765.1_Root901	PUL10	NZ_LMJB01000005.1	291634	313124	GH13_10-unk-susD-susC-unk-unk-unk-GH65-GH97-unk-GH13_20-GH13_19
GCF_001429765.1_Root901	PUL11	NZ_LMJB01000005.1	511489	524452	susC-susD-unk-GH13-GH97-GH13;CBM26
GCF_001429765.1_Root901	PUL12	NZ_LMJB01000005.1	600510	616287	GH51-GH127-GH43_5-GH43_29-GH43_4-GH51-GH43_5-susD-susC
GCF_001429765.1_Root901	PUL13	NZ_LMJB01000005.1	1003634	1026913	susC-susD-unk-GH2-GH31-GH97-GH39-GH3-GH5_4-unk-GH95
GCF_001429765.1_Root901	PUL14	NZ_LMJB01000005.1	1125696	1130412	susD-susC
GCF_001429765.1_Root901	PUL15	NZ_LMJB01000006.1	53713	62428	susC-susD-unk-GH16-GH16
GCF_001429765.1_Root901	PUL16	NZ_LMJB01000006.1	266427	279161	susC-susD-unk-GH144-CE1-GH3-unk-CBM32;GH43_28
GCF_001429765.1_Root901	PUL17	NZ_LMJB01000006.1	535017	555004	susC-susD-unk-unk-unk-susC-susD-unk-unk-unk-susC
GCF_001429765.1_Root901	PUL18	NZ_LMJB01000006.1	711203	716415	susC-susD
GCF_001429765.1_Root901	PUL19	NZ_LMJB01000007.1	22769	27390	susD-susC
GCF_001429765.1_Root901	PUL20	NZ_LMJB01000007.1	140200	183653	GH2-GH2;CBM57-GH138-unk-GH33-CBM67;GH78-GH142-GH95-unk-GH78;CBM67-GH143-GH43_18-GH28-GH140-unk-PL29-PL1_2-unk-PL1_2-susD-susC
GCF_001429765.1_Root901	PUL21	NZ_LMJB01000007.1	249599	271863	susD-susC-unk-unk-unk-unk-CBM6;CBM13-CBM6;GH18-CBM6;CBM13;GH64-GH16;CBM32
GCF_001429765.1_Root901	PUL22	NZ_LMJB01000007.1	287151	303717	PL29-unk-susC-susD-GH88-GH2-GH2
GCF_001429765.1_Root901	PUL23	NZ_LMJB01000007.1	330768	347832	CE12-GH28-CE8;PL10_1-GH43_10-GH105-GH105-unk-CE10-susD-susC-GH28
GCF_001429765.1_Root901	PUL24	NZ_LMJB01000007.1	418103	426151	GH97-GH99-susD-susC
GCF_001429765.1_Root901	PUL25	NZ_LMJB01000007.1	492134	501573	GH32-unk-susD-susC-GH32
GCF_001429765.1_Root901	PUL26	NZ_LMJB01000009.1	166271	171294	susD-susC
GCF_001429765.1_Root901	PUL27	NZ_LMJB01000009.1	241536	255046	susC-unk-unk-susD-susC-unk-unk-susC
GCF_001429765.1_Root901	PUL28	NZ_LMJB01000009.1	380815	385542	susC-susD
GCF_001429765.1_Root901	PUL29	NZ_LMJB01000011.1	22578	69788	susC-susD-GH5_13-GH43_18-GH2-GH43_26-unk-GH43_31-unk-GH29;CBM32-unk-unk-unk-GH92-unk-GH130-CBM9-unk-unk-GH2-GH20-GH29-GH92-GH3-susC-susD-GH33
GCF_001429765.1_Root901	PUL30	NZ_LMJB01000012.1	3908	8271	susD-susC
GCF_001429765.1_Root901	PUL31	NZ_LMJB01000012.1	43410	53161	GH109-unk-unk-unk-susD-susC
