genome	pulid	contigid	start	end	pattern
GCF_902804475.1_CIP105534	PUL1	NZ_CADCSU010000015.1	7744	33290	susC-susD-unk-GH2-GH31-GH97-GH39-GH3-GH5_4-unk-GH43_9-GH95
GCF_902804475.1_CIP105534	PUL2	NZ_CADCSU010000016.1	21954	26866	susD-susC
GCF_902804475.1_CIP105534	PUL3	NZ_CADCSU010000019.1	531	5151	susC-susD
GCF_902804475.1_CIP105534	PUL4	NZ_CADCSU010000019.1	21239	25932	susC-susD
GCF_902804475.1_CIP105534	PUL5	NZ_CADCSU010000021.1	22859	37517	GH51-GH127-GH43_5-GH43_29-GH43_4-GH51-susD-susC
GCF_902804475.1_CIP105534	PUL6	NZ_CADCSU010000025.1	248	17470	susC-susD-GH43_12-unk-CE1;CE6-GH43_10-GH3-GH97
GCF_902804475.1_CIP105534	PUL7	NZ_CADCSU010000025.1	22396	26911	susC-susD
GCF_902804475.1_CIP105534	PUL8	NZ_CADCSU010000025.1	29267	37747	GH8-unk-susD-susC
GCF_902804475.1_CIP105534	PUL9	NZ_CADCSU010000026.1	39888	49552	susC-susD-unk-GH13-GH97
GCF_902804475.1_CIP105534	PUL10	NZ_CADCSU010000027.1	112	24686	CE12-GH2-GH115-GH43_24-unk-GH105-GH159-susD-susC-CE10;GH43_18-unk-susC
GCF_902804475.1_CIP105534	PUL11	NZ_CADCSU010000030.1	867	5301	susC-susD
GCF_902804475.1_CIP105534	PUL12	NZ_CADCSU010000045.1	9512	35388	GH20-unk-unk-CE1-unk-unk-unk-susC-susD-unk-unk-unk-GH3
GCF_902804475.1_CIP105534	PUL13	NZ_CADCSU010000045.1	58712	63641	susD-susC
GCF_902804475.1_CIP105534	PUL14	NZ_CADCSU010000047.1	13979	35918	susC-susD-unk-unk-unk-PL15-unk-unk-unk-unk-susC
GCF_902804475.1_CIP105534	PUL15	NZ_CADCSU010000047.1	44224	57170	GH43_31-unk-GH43_26-GH2-GH43_18-GH5_13-susD-susC
GCF_902804475.1_CIP105534	PUL16	NZ_CADCSU010000047.1	64376	69001	susD-susC
GCF_902804475.1_CIP105534	PUL17	NZ_CADCSU010000052.1	233	14407	susC-susD-unk-GH20-GH18
GCF_902804475.1_CIP105534	PUL18	NZ_CADCSU010000054.1	10769	23493	susC-susD-GH2-GH95-GH92
GCF_902804475.1_CIP105534	PUL19	NZ_CADCSU010000055.1	72099	87086	susC-susD-unk-GH30_1-GH30_1-GH30_3-unk-GH30_3-GH3
GCF_902804475.1_CIP105534	PUL20	NZ_CADCSU010000057.1	33374	37980	susD-susC
GCF_902804475.1_CIP105534	PUL21	NZ_CADCSU010000060.1	849	6168	susD-susC
GCF_902804475.1_CIP105534	PUL22	NZ_CADCSU010000062.1	1839	10104	susC-susD-GH99-GH97
GCF_902804475.1_CIP105534	PUL23	NZ_CADCSU010000064.1	27305	37718	susC-susD-unk-GH53-GH53-GH2
GCF_902804475.1_CIP105534	PUL24	NZ_CADCSU010000065.1	14720	24163	GH32-susC-susD-unk-GH32
GCF_902804475.1_CIP105534	PUL25	NZ_CADCSU010000065.1	36823	52988	susC-susD-GH30_4-GH30_4-GH2-GH27-GH43_19;GH43_34-unk-unk-unk-susC
GCF_902804475.1_CIP105534	PUL26	NZ_CADCSU010000065.1	64402	82100	GH2-unk-GH2-GH88-susD-susC-unk-PL29
GCF_902804475.1_CIP105534	PUL27	NZ_CADCSU010000065.1	111425	116485	susC-susD
GCF_902804475.1_CIP105534	PUL28	NZ_CADCSU010000068.1	37349	62886	GH105-GH106-unk-susC-susD-unk-GH117-unk-unk-GH28-unk-CE12-unk-unk-PL11_1
GCF_902804475.1_CIP105534	PUL29	NZ_CADCSU010000076.1	50923	60501	GH35-GH109-unk-susD-susC
GCF_902804475.1_CIP105534	PUL30	NZ_CADCSU010000077.1	24304	29146	susD-susC
GCF_902804475.1_CIP105534	PUL31	NZ_CADCSU010000079.1	6996	24130	GH97-GH92-GH125-GH92-GH2-GH76-unk-susD-susC
GCF_902804475.1_CIP105534	PUL32	NZ_CADCSU010000087.1	49476	69922	GH13_19-GH13_20-GH97-GH65-unk-unk-unk-susC-susD-unk-GH13_10
GCF_902804475.1_CIP105534	PUL33	NZ_CADCSU010000091.1	32714	37433	susC-susD
GCF_902804475.1_CIP105534	PUL34	NZ_CADCSU010000095.1	9631	37256	GH5_2-GH27-unk-unk-unk-susD-susC-unk-GH26-unk-GH130-unk-GH26-GH5_7-unk-unk-GH3-unk-CE2
GCF_902804475.1_CIP105534	PUL35	NZ_CADCSU010000108.1	47789	57433	susC-susD-susC-susD
GCF_902804475.1_CIP105534	PUL36	NZ_CADCSU010000109.1	24165	28840	susC-susD
GCF_902804475.1_CIP105534	PUL37	NZ_CADCSU010000114.1	184	5224	susC-susD
GCF_902804475.1_CIP105534	PUL38	NZ_CADCSU010000120.1	19425	36476	GH28-susC-susD-CE10-unk-GH105-GH105-GH43_10-CE8;PL10_1-GH28-CE12
GCF_902804475.1_CIP105534	PUL39	NZ_CADCSU010000124.1	27131	37844	susC-susD-GH10-unk-GH50-unk-GH2
GCF_902804475.1_CIP105534	PUL40	NZ_CADCSU010000129.1	159	7980	susC-susC-susD-unk-susC
GCF_902804475.1_CIP105534	PUL41	NZ_CADCSU010000132.1	43569	49455	susC-susD-GH18
GCF_902804475.1_CIP105534	PUL42	NZ_CADCSU010000137.1	5487	21000	GH3-unk-susC-susD-unk-GH10-GH16
GCF_902804475.1_CIP105534	PUL43	NZ_CADCSU010000139.1	1582	10221	GH16-GH16-unk-susD-susC
GCF_902804475.1_CIP105534	PUL44	NZ_CADCSU010000174.1	17176	29084	CBM32;GH43_28-unk-GH3-CE1-GH144-susD-susC
GCF_902804475.1_CIP105534	PUL45	NZ_CADCSU010000183.1	35273	40530	susC-susD
GCF_902804475.1_CIP105534	PUL46	NZ_CADCSU010000200.1	13805	18766	susD-susC
