genome	pulid	contigid	start	end	pattern
GCF_902506345.1_FLAVO9R_assembly	PUL1	NZ_LR733413.1	49575	54050	susC-susD
GCF_902506345.1_FLAVO9R_assembly	PUL2	NZ_LR733413.1	435393	446538	susC-susD-unk-GH16-GH3-GH16
GCF_902506345.1_FLAVO9R_assembly	PUL3	NZ_LR733413.1	516919	528039	susC-susD-unk-GH144-GH3-GH43_28
GCF_902506345.1_FLAVO9R_assembly	PUL4	NZ_LR733413.1	553783	567603	CE12-GH28-PL10_1;CE8-GH43_10-GH105-unk-CE10-susD-susC
GCF_902506345.1_FLAVO9R_assembly	PUL5	NZ_LR733413.1	569699	576183	susD-susC-GH28
GCF_902506345.1_FLAVO9R_assembly	PUL6	NZ_LR733413.1	876207	886648	susC-susD-unk-GH20-GH18
GCF_902506345.1_FLAVO9R_assembly	PUL7	NZ_LR733413.1	1449636	1471787	CE2-unk-GH3-unk-GH5_7-GH26-unk-GH130-unk-GH26-GH26-unk-susD-susC
GCF_902506345.1_FLAVO9R_assembly	PUL8	NZ_LR733413.1	1593615	1602251	susD-susC-unk-unk-GT2_Glycos_transf_2-GT9
GCF_902506345.1_FLAVO9R_assembly	PUL9	NZ_LR733413.1	1942915	1947582	susC-susD
GCF_902506345.1_FLAVO9R_assembly	PUL10	NZ_LR733413.1	2239424	2248003	GH13_10-unk-susD-susC
GCF_902506345.1_FLAVO9R_assembly	PUL11	NZ_LR733413.1	2454378	2477141	GH95-unk-GH5_4-GH3-GH39-GH97-GH31-GH2-unk-susD-susC
GCF_902506345.1_FLAVO9R_assembly	PUL12	NZ_LR733413.1	2489535	2501366	GH2-GH53-GH53-unk-unk-susD-susC
GCF_902506345.1_FLAVO9R_assembly	PUL13	NZ_LR733413.1	2506893	2529753	susC-susD-GH43_5-GH51-GH43_4-GH43_29-GH43_5-GH127-GH51-unk-unk-unk-unk-GH97
GCF_902506345.1_FLAVO9R_assembly	PUL14	NZ_LR733413.1	3106379	3129679	susC-susD-unk-GH30_1-GH30_3-CBM6;GH5_46-GH16-unk-unk-GH3-unk-GH3-unk-GH3
GCF_902506345.1_FLAVO9R_assembly	PUL15	NZ_LR733413.1	3175126	3189834	GH13_31-GH13_31-unk-unk-GH32-GH65-susC-susD
