genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_001423985.1_Leaf359	PUL1	NZ_LMPW01000001.1_155	NZ_LMPW01000001.1	167538	168305	-	0	NZ_LMPW01000001.1_155		GH16	
GCF_001423985.1_Leaf359	PUL1	NZ_LMPW01000001.1_156	NZ_LMPW01000001.1	168316	170610	-	11	NZ_LMPW01000001.1_156		GH3	
GCF_001423985.1_Leaf359	PUL1	NZ_LMPW01000001.1_157	NZ_LMPW01000001.1	170696	172345	-	86	NZ_LMPW01000001.1_157		GH16	
GCF_001423985.1_Leaf359	PUL1	NZ_LMPW01000001.1_158	NZ_LMPW01000001.1	172351	173907	-	6	NZ_LMPW01000001.1_158			
GCF_001423985.1_Leaf359	PUL1	NZ_LMPW01000001.1_159	NZ_LMPW01000001.1	173920	175395	-	13	NZ_LMPW01000001.1_159	susD		
GCF_001423985.1_Leaf359	PUL1	NZ_LMPW01000001.1_160	NZ_LMPW01000001.1	175408	178473	-	13	NZ_LMPW01000001.1_160	susC		
GCF_001423985.1_Leaf359	PUL2	NZ_LMPW01000011.1_207	NZ_LMPW01000011.1	209115	212198	+	30642	NZ_LMPW01000011.1_207	susC		
GCF_001423985.1_Leaf359	PUL2	NZ_LMPW01000011.1_208	NZ_LMPW01000011.1	212210	213685	+	12	NZ_LMPW01000011.1_208	susD		
GCF_001423985.1_Leaf359	PUL3	NZ_LMPW01000012.1_57	NZ_LMPW01000012.1	66057	69104	+	-147628	NZ_LMPW01000012.1_57	susC		
GCF_001423985.1_Leaf359	PUL3	NZ_LMPW01000012.1_58	NZ_LMPW01000012.1	69117	70598	+	13	NZ_LMPW01000012.1_58	susD		
GCF_001423985.1_Leaf359	PUL4	NZ_LMPW01000012.1_626	NZ_LMPW01000012.1	659576	662653	+	588978	NZ_LMPW01000012.1_626	susC		
GCF_001423985.1_Leaf359	PUL4	NZ_LMPW01000012.1_627	NZ_LMPW01000012.1	662664	664088	+	11	NZ_LMPW01000012.1_627	susD		
GCF_001423985.1_Leaf359	PUL4	NZ_LMPW01000012.1_628	NZ_LMPW01000012.1	664101	665471	+	13	NZ_LMPW01000012.1_628		GH144	
GCF_001423985.1_Leaf359	PUL4	NZ_LMPW01000012.1_629	NZ_LMPW01000012.1	665473	666171	+	2	NZ_LMPW01000012.1_629		CE1	
GCF_001423985.1_Leaf359	PUL4	NZ_LMPW01000012.1_630	NZ_LMPW01000012.1	666198	668441	+	27	NZ_LMPW01000012.1_630		GH3	
GCF_001423985.1_Leaf359	PUL4	NZ_LMPW01000012.1_631	NZ_LMPW01000012.1	668533	670620	+	92	NZ_LMPW01000012.1_631		GH97	
GCF_001423985.1_Leaf359	PUL4	NZ_LMPW01000012.1_632	NZ_LMPW01000012.1	670630	672420	+	10	NZ_LMPW01000012.1_632		CBM32;GH43_28	
GCF_001423985.1_Leaf359	PUL5	NZ_LMPW01000013.1_232	NZ_LMPW01000013.1	256405	257841	-	-416015	NZ_LMPW01000013.1_232		GH13	
GCF_001423985.1_Leaf359	PUL5	NZ_LMPW01000013.1_233	NZ_LMPW01000013.1	257921	259765	-	80	NZ_LMPW01000013.1_233		GH13	
GCF_001423985.1_Leaf359	PUL5	NZ_LMPW01000013.1_234	NZ_LMPW01000013.1	259826	262135	-	61	NZ_LMPW01000013.1_234		GH65	
GCF_001423985.1_Leaf359	PUL5	NZ_LMPW01000013.1_235	NZ_LMPW01000013.1	262137	262793	-	2	NZ_LMPW01000013.1_235			
GCF_001423985.1_Leaf359	PUL5	NZ_LMPW01000013.1_236	NZ_LMPW01000013.1	262798	264144	-	5	NZ_LMPW01000013.1_236			
GCF_001423985.1_Leaf359	PUL5	NZ_LMPW01000013.1_237	NZ_LMPW01000013.1	264349	265374	-	205	NZ_LMPW01000013.1_237			
GCF_001423985.1_Leaf359	PUL5	NZ_LMPW01000013.1_238	NZ_LMPW01000013.1	265601	268549	+	227	NZ_LMPW01000013.1_238	susC		
GCF_001423985.1_Leaf359	PUL5	NZ_LMPW01000013.1_239	NZ_LMPW01000013.1	268562	270163	+	13	NZ_LMPW01000013.1_239	susD		
GCF_001423985.1_Leaf359	PUL5	NZ_LMPW01000013.1_240	NZ_LMPW01000013.1	270186	271310	+	23	NZ_LMPW01000013.1_240			
GCF_001423985.1_Leaf359	PUL5	NZ_LMPW01000013.1_241	NZ_LMPW01000013.1	271369	274272	+	59	NZ_LMPW01000013.1_241		GH13	
GCF_001423985.1_Leaf359	PUL6	NZ_LMPW01000014.1_62	NZ_LMPW01000014.1	61587	64685	+	-212685	NZ_LMPW01000014.1_62	susC		
GCF_001423985.1_Leaf359	PUL6	NZ_LMPW01000014.1_63	NZ_LMPW01000014.1	64697	66115	+	12	NZ_LMPW01000014.1_63	susD		
