genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_904425415.1_CIP_105534	PUL1	NZ_CAJGBJ010000017.1_1	NZ_CAJGBJ010000017.1	812	3943	+	0	NZ_CAJGBJ010000017.1_1	susC		
GCF_904425415.1_CIP_105534	PUL1	NZ_CAJGBJ010000017.1_2	NZ_CAJGBJ010000017.1	3960	5432	+	17	NZ_CAJGBJ010000017.1_2	susD		
GCF_904425415.1_CIP_105534	PUL2	NZ_CAJGBJ010000017.1_14	NZ_CAJGBJ010000017.1	21520	24705	+	16088	NZ_CAJGBJ010000017.1_14	susC		
GCF_904425415.1_CIP_105534	PUL2	NZ_CAJGBJ010000017.1_15	NZ_CAJGBJ010000017.1	24741	26213	+	36	NZ_CAJGBJ010000017.1_15	susD		
GCF_904425415.1_CIP_105534	PUL3	NZ_CAJGBJ010000019.1_4	NZ_CAJGBJ010000019.1	5034	8090	+	-21179	NZ_CAJGBJ010000019.1_4	susC		
GCF_904425415.1_CIP_105534	PUL3	NZ_CAJGBJ010000019.1_5	NZ_CAJGBJ010000019.1	8122	9684	+	32	NZ_CAJGBJ010000019.1_5	susD		
GCF_904425415.1_CIP_105534	PUL3	NZ_CAJGBJ010000019.1_6	NZ_CAJGBJ010000019.1	9835	11382	+	151	NZ_CAJGBJ010000019.1_6		GH51	
GCF_904425415.1_CIP_105534	PUL3	NZ_CAJGBJ010000019.1_7	NZ_CAJGBJ010000019.1	11393	13015	+	11	NZ_CAJGBJ010000019.1_7		GH43_4	
GCF_904425415.1_CIP_105534	PUL3	NZ_CAJGBJ010000019.1_8	NZ_CAJGBJ010000019.1	13233	14189	+	218	NZ_CAJGBJ010000019.1_8		GH43_29	
GCF_904425415.1_CIP_105534	PUL3	NZ_CAJGBJ010000019.1_9	NZ_CAJGBJ010000019.1	14303	15283	+	114	NZ_CAJGBJ010000019.1_9		GH43_5	
GCF_904425415.1_CIP_105534	PUL3	NZ_CAJGBJ010000019.1_10	NZ_CAJGBJ010000019.1	15299	17284	+	16	NZ_CAJGBJ010000019.1_10		GH127	
GCF_904425415.1_CIP_105534	PUL3	NZ_CAJGBJ010000019.1_11	NZ_CAJGBJ010000019.1	17707	19692	+	423	NZ_CAJGBJ010000019.1_11		GH51	
GCF_904425415.1_CIP_105534	PUL4	NZ_CAJGBJ010000027.1_15	NZ_CAJGBJ010000027.1	18151	21240	+	-1541	NZ_CAJGBJ010000027.1_15	susC		
GCF_904425415.1_CIP_105534	PUL4	NZ_CAJGBJ010000027.1_16	NZ_CAJGBJ010000027.1	21252	22874	+	12	NZ_CAJGBJ010000027.1_16	susD		
GCF_904425415.1_CIP_105534	PUL4	NZ_CAJGBJ010000027.1_17	NZ_CAJGBJ010000027.1	22904	24028	+	30	NZ_CAJGBJ010000027.1_17			
GCF_904425415.1_CIP_105534	PUL4	NZ_CAJGBJ010000027.1_18	NZ_CAJGBJ010000027.1	24090	25271	+	62	NZ_CAJGBJ010000027.1_18		GH76	
GCF_904425415.1_CIP_105534	PUL4	NZ_CAJGBJ010000027.1_19	NZ_CAJGBJ010000027.1	25452	27260	+	181	NZ_CAJGBJ010000027.1_19		GH2	
GCF_904425415.1_CIP_105534	PUL4	NZ_CAJGBJ010000027.1_20	NZ_CAJGBJ010000027.1	27265	29568	+	5	NZ_CAJGBJ010000027.1_20		GH92	
GCF_904425415.1_CIP_105534	PUL4	NZ_CAJGBJ010000027.1_21	NZ_CAJGBJ010000027.1	29604	31034	+	36	NZ_CAJGBJ010000027.1_21		GH125	
GCF_904425415.1_CIP_105534	PUL4	NZ_CAJGBJ010000027.1_22	NZ_CAJGBJ010000027.1	31066	33246	+	32	NZ_CAJGBJ010000027.1_22		GH92	
GCF_904425415.1_CIP_105534	PUL4	NZ_CAJGBJ010000027.1_23	NZ_CAJGBJ010000027.1	33324	35285	+	78	NZ_CAJGBJ010000027.1_23		GH97	
GCF_904425415.1_CIP_105534	PUL5	NZ_CAJGBJ010000031.1_9	NZ_CAJGBJ010000031.1	9802	11982	-	-25483	NZ_CAJGBJ010000031.1_9		GH97	
GCF_904425415.1_CIP_105534	PUL5	NZ_CAJGBJ010000031.1_10	NZ_CAJGBJ010000031.1	12032	13417	-	50	NZ_CAJGBJ010000031.1_10		GH13	
GCF_904425415.1_CIP_105534	PUL5	NZ_CAJGBJ010000031.1_11	NZ_CAJGBJ010000031.1	13550	14656	-	133	NZ_CAJGBJ010000031.1_11			
GCF_904425415.1_CIP_105534	PUL5	NZ_CAJGBJ010000031.1_12	NZ_CAJGBJ010000031.1	14674	16185	-	18	NZ_CAJGBJ010000031.1_12	susD		
GCF_904425415.1_CIP_105534	PUL5	NZ_CAJGBJ010000031.1_13	NZ_CAJGBJ010000031.1	16194	19466	-	9	NZ_CAJGBJ010000031.1_13	susC		
GCF_904425415.1_CIP_105534	PUL6	NZ_CAJGBJ010000032.1_10	NZ_CAJGBJ010000032.1	11064	13682	+	-8402	NZ_CAJGBJ010000032.1_10	susC		
GCF_904425415.1_CIP_105534	PUL6	NZ_CAJGBJ010000032.1_11	NZ_CAJGBJ010000032.1	13688	14527	+	6	NZ_CAJGBJ010000032.1_11			
GCF_904425415.1_CIP_105534	PUL6	NZ_CAJGBJ010000032.1_12	NZ_CAJGBJ010000032.1	14612	16531	-	85	NZ_CAJGBJ010000032.1_12		CE10;GH43_18	
GCF_904425415.1_CIP_105534	PUL6	NZ_CAJGBJ010000032.1_13	NZ_CAJGBJ010000032.1	16840	19992	+	309	NZ_CAJGBJ010000032.1_13	susC		
GCF_904425415.1_CIP_105534	PUL6	NZ_CAJGBJ010000032.1_14	NZ_CAJGBJ010000032.1	20040	22136	+	48	NZ_CAJGBJ010000032.1_14	susD		
