genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_87	NZ_CAIJDE010000017.1	90388	92793	-	0	NZ_CAIJDE010000017.1_87		GH95	
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_88	NZ_CAIJDE010000017.1	93007	94956	-	214	NZ_CAIJDE010000017.1_88			
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_89	NZ_CAIJDE010000017.1	95070	96575	-	114	NZ_CAIJDE010000017.1_89		GH5_4	
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_90	NZ_CAIJDE010000017.1	96577	98811	-	2	NZ_CAIJDE010000017.1_90		GH3	
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_91	NZ_CAIJDE010000017.1	98850	100421	-	39	NZ_CAIJDE010000017.1_91		GH39	
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_92	NZ_CAIJDE010000017.1	100560	102566	-	139	NZ_CAIJDE010000017.1_92		GH97	
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_93	NZ_CAIJDE010000017.1	102866	105265	-	300	NZ_CAIJDE010000017.1_93		GH31	
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_94	NZ_CAIJDE010000017.1	105462	107948	-	197	NZ_CAIJDE010000017.1_94		GH2	
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_95	NZ_CAIJDE010000017.1	108033	108896	-	85	NZ_CAIJDE010000017.1_95			
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_96	NZ_CAIJDE010000017.1	108917	110518	-	21	NZ_CAIJDE010000017.1_96	susD		
GCF_903819335.1_CIP111646	PUL1	NZ_CAIJDE010000017.1_97	NZ_CAIJDE010000017.1	110531	113614	-	13	NZ_CAIJDE010000017.1_97	susC		
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_10	NZ_CAIJDE010000023.1	17150	20260	+	-96464	NZ_CAIJDE010000023.1_10	susC		
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_11	NZ_CAIJDE010000023.1	20274	21785	+	14	NZ_CAIJDE010000023.1_11	susD		
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_12	NZ_CAIJDE010000023.1	21820	22695	+	35	NZ_CAIJDE010000023.1_12			
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_13	NZ_CAIJDE010000023.1	22829	24283	+	134	NZ_CAIJDE010000023.1_13		GH30_1	
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_14	NZ_CAIJDE010000023.1	24357	25844	+	74	NZ_CAIJDE010000023.1_14		GH30_1	
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_15	NZ_CAIJDE010000023.1	25870	27342	+	26	NZ_CAIJDE010000023.1_15		GH30_3	
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_16	NZ_CAIJDE010000023.1	27372	29129	+	30	NZ_CAIJDE010000023.1_16		CBM6;GH5_46	
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_17	NZ_CAIJDE010000023.1	29136	30218	+	7	NZ_CAIJDE010000023.1_17		GH16	
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_18	NZ_CAIJDE010000023.1	30292	31131	+	74	NZ_CAIJDE010000023.1_18			
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_19	NZ_CAIJDE010000023.1	31133	32557	+	2	NZ_CAIJDE010000023.1_19		GH30_3	
GCF_903819335.1_CIP111646	PUL2	NZ_CAIJDE010000023.1_20	NZ_CAIJDE010000023.1	32572	34800	+	15	NZ_CAIJDE010000023.1_20		GH3	
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_58	NZ_CAIJDE010000029.1	67377	69794	-	32577	NZ_CAIJDE010000029.1_58		GH2	
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_59	NZ_CAIJDE010000029.1	70047	73571	-	253	NZ_CAIJDE010000029.1_59		GH2;CBM57	
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_60	NZ_CAIJDE010000029.1	73688	74059	-	117	NZ_CAIJDE010000029.1_60			
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_61	NZ_CAIJDE010000029.1	74004	76733	-	-55	NZ_CAIJDE010000029.1_61		GH138	
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_62	NZ_CAIJDE010000029.1	76832	77716	-	99	NZ_CAIJDE010000029.1_62			
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_63	NZ_CAIJDE010000029.1	77980	79125	-	264	NZ_CAIJDE010000029.1_63		GH33	
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_64	NZ_CAIJDE010000029.1	79231	79320	+	106	NZ_CAIJDE010000029.1_64			
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_65	NZ_CAIJDE010000029.1	79492	79989	+	172	NZ_CAIJDE010000029.1_65			
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_66	NZ_CAIJDE010000029.1	80017	82767	-	28	NZ_CAIJDE010000029.1_66		GH78;CBM67	
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_67	NZ_CAIJDE010000029.1	82919	84487	-	152	NZ_CAIJDE010000029.1_67		GH142	
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_68	NZ_CAIJDE010000029.1	84661	87117	-	174	NZ_CAIJDE010000029.1_68		GH95	
GCF_903819335.1_CIP111646	PUL3	NZ_CAIJDE010000029.1_69	NZ_CAIJDE010000029.1	87375	88793	-	258	NZ_CAIJDE010000029.1_69			
