genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_902804485.1_CECT7796	PUL1	NZ_CADCST010000042.1_2	NZ_CADCST010000042.1	1573	3000	+	0	NZ_CADCST010000042.1_2		GH28	
GCF_902804485.1_CECT7796	PUL1	NZ_CADCST010000042.1_3	NZ_CADCST010000042.1	3047	6223	+	47	NZ_CADCST010000042.1_3	susC		
GCF_902804485.1_CECT7796	PUL1	NZ_CADCST010000042.1_4	NZ_CADCST010000042.1	6234	7925	+	11	NZ_CADCST010000042.1_4	susD		
GCF_902804485.1_CECT7796	PUL1	NZ_CADCST010000042.1_5	NZ_CADCST010000042.1	8048	8983	+	123	NZ_CADCST010000042.1_5		CE10	
GCF_902804485.1_CECT7796	PUL2	NZ_CADCST010000045.1_18	NZ_CADCST010000045.1	20365	21900	-	11382	NZ_CADCST010000045.1_18	susD		
GCF_902804485.1_CECT7796	PUL2	NZ_CADCST010000045.1_19	NZ_CADCST010000045.1	21917	25306	-	17	NZ_CADCST010000045.1_19	susC		
GCF_902804485.1_CECT7796	PUL3	NZ_CADCST010000050.1_16	NZ_CADCST010000050.1	17193	19418	-	-8113	NZ_CADCST010000050.1_16		GH3	
GCF_902804485.1_CECT7796	PUL3	NZ_CADCST010000050.1_17	NZ_CADCST010000050.1	19432	20856	-	14	NZ_CADCST010000050.1_17		GH30_3	
GCF_902804485.1_CECT7796	PUL3	NZ_CADCST010000050.1_18	NZ_CADCST010000050.1	20858	21727	-	2	NZ_CADCST010000050.1_18			
GCF_902804485.1_CECT7796	PUL3	NZ_CADCST010000050.1_19	NZ_CADCST010000050.1	21903	23645	-	176	NZ_CADCST010000050.1_19		CBM6;GH5_46	
GCF_902804485.1_CECT7796	PUL3	NZ_CADCST010000050.1_20	NZ_CADCST010000050.1	23674	25116	-	29	NZ_CADCST010000050.1_20		GH30_3	
GCF_902804485.1_CECT7796	PUL3	NZ_CADCST010000050.1_21	NZ_CADCST010000050.1	25206	26660	-	90	NZ_CADCST010000050.1_21		GH30_1	
GCF_902804485.1_CECT7796	PUL3	NZ_CADCST010000050.1_22	NZ_CADCST010000050.1	26975	28483	-	315	NZ_CADCST010000050.1_22	susD		
GCF_902804485.1_CECT7796	PUL3	NZ_CADCST010000050.1_23	NZ_CADCST010000050.1	28498	31608	-	15	NZ_CADCST010000050.1_23	susC		
GCF_902804485.1_CECT7796	PUL4	NZ_CADCST010000053.1_18	NZ_CADCST010000053.1	24291	25748	-	-7317	NZ_CADCST010000053.1_18	susD		
GCF_902804485.1_CECT7796	PUL4	NZ_CADCST010000053.1_19	NZ_CADCST010000053.1	25763	28969	-	15	NZ_CADCST010000053.1_19	susC		
GCF_902804485.1_CECT7796	PUL5	NZ_CADCST010000061.1_39	NZ_CADCST010000061.1	52666	55041	+	23697	NZ_CADCST010000061.1_39	susC		
GCF_902804485.1_CECT7796	PUL5	NZ_CADCST010000061.1_40	NZ_CADCST010000061.1	55129	56139	-	88	NZ_CADCST010000061.1_40			
GCF_902804485.1_CECT7796	PUL5	NZ_CADCST010000061.1_41	NZ_CADCST010000061.1	56342	56998	-	203	NZ_CADCST010000061.1_41			
GCF_902804485.1_CECT7796	PUL5	NZ_CADCST010000061.1_42	NZ_CADCST010000061.1	57388	60492	+	390	NZ_CADCST010000061.1_42	susC		
GCF_902804485.1_CECT7796	PUL5	NZ_CADCST010000061.1_43	NZ_CADCST010000061.1	60501	62105	+	9	NZ_CADCST010000061.1_43	susD		
GCF_902804485.1_CECT7796	PUL6	NZ_CADCST010000065.1_90	NZ_CADCST010000065.1	114064	115461	-	51959	NZ_CADCST010000065.1_90	susD		
GCF_902804485.1_CECT7796	PUL6	NZ_CADCST010000065.1_91	NZ_CADCST010000065.1	115472	118480	-	11	NZ_CADCST010000065.1_91	susC		
GCF_902804485.1_CECT7796	PUL7	NZ_CADCST010000065.1_100	NZ_CADCST010000065.1	129537	131009	-	11057	NZ_CADCST010000065.1_100	susD		
GCF_902804485.1_CECT7796	PUL7	NZ_CADCST010000065.1_101	NZ_CADCST010000065.1	131026	134157	-	17	NZ_CADCST010000065.1_101	susC		
GCF_902804485.1_CECT7796	PUL8	NZ_CADCST010000068.1_17	NZ_CADCST010000068.1	19937	21448	-	-114220	NZ_CADCST010000068.1_17	susD		
GCF_902804485.1_CECT7796	PUL8	NZ_CADCST010000068.1_18	NZ_CADCST010000068.1	21782	24784	-	334	NZ_CADCST010000068.1_18	susC		
GCF_902804485.1_CECT7796	PUL8	NZ_CADCST010000068.1_19	NZ_CADCST010000068.1	24998	29089	-	214	NZ_CADCST010000068.1_19			
GCF_902804485.1_CECT7796	PUL8	NZ_CADCST010000068.1_20	NZ_CADCST010000068.1	29345	30985	-	256	NZ_CADCST010000068.1_20		PL29	
GCF_902804485.1_CECT7796	PUL9	NZ_CADCST010000069.1_13	NZ_CADCST010000069.1	11955	15185	+	-19030	NZ_CADCST010000069.1_13	susC		
GCF_902804485.1_CECT7796	PUL9	NZ_CADCST010000069.1_14	NZ_CADCST010000069.1	15204	17000	+	19	NZ_CADCST010000069.1_14	susD		
GCF_902804485.1_CECT7796	PUL10	NZ_CADCST010000073.1_4	NZ_CADCST010000073.1	2446	5526	+	-14554	NZ_CADCST010000073.1_4	susC		
GCF_902804485.1_CECT7796	PUL10	NZ_CADCST010000073.1_5	NZ_CADCST010000073.1	5537	7234	+	11	NZ_CADCST010000073.1_5	susD		
GCF_902804485.1_CECT7796	PUL10	NZ_CADCST010000073.1_6	NZ_CADCST010000073.1	7334	8659	+	100	NZ_CADCST010000073.1_6			
GCF_902804485.1_CECT7796	PUL10	NZ_CADCST010000073.1_7	NZ_CADCST010000073.1	8735	10114	+	76	NZ_CADCST010000073.1_7		GH109	
GCF_902804485.1_CECT7796	PUL10	NZ_CADCST010000073.1_8	NZ_CADCST010000073.1	10201	12057	+	87	NZ_CADCST010000073.1_8		GH35	
GCF_902804485.1_CECT7796	PUL11	NZ_CADCST010000077.1_73	NZ_CADCST010000077.1	76457	79480	+	64400	NZ_CADCST010000077.1_73	susC		
GCF_902804485.1_CECT7796	PUL11	NZ_CADCST010000077.1_74	NZ_CADCST010000077.1	79496	80917	+	16	NZ_CADCST010000077.1_74	susD		
GCF_902804485.1_CECT7796	PUL12	NZ_CADCST010000077.1_157	NZ_CADCST010000077.1	180208	181608	-	99291	NZ_CADCST010000077.1_157	susD		
GCF_902804485.1_CECT7796	PUL12	NZ_CADCST010000077.1_158	NZ_CADCST010000077.1	181696	184905	-	88	NZ_CADCST010000077.1_158	susC		
GCF_902804485.1_CECT7796	PUL13	NZ_CADCST010000079.1_15	NZ_CADCST010000079.1	23284	24744	-	-161621	NZ_CADCST010000079.1_15		GH125	
GCF_902804485.1_CECT7796	PUL13	NZ_CADCST010000079.1_16	NZ_CADCST010000079.1	24749	27034	-	5	NZ_CADCST010000079.1_16		GH92	
GCF_902804485.1_CECT7796	PUL13	NZ_CADCST010000079.1_17	NZ_CADCST010000079.1	27262	29538	-	228	NZ_CADCST010000079.1_17		GH92	
GCF_902804485.1_CECT7796	PUL13	NZ_CADCST010000079.1_18	NZ_CADCST010000079.1	29788	31776	-	250	NZ_CADCST010000079.1_18		GH2	
GCF_902804485.1_CECT7796	PUL13	NZ_CADCST010000079.1_19	NZ_CADCST010000079.1	32216	33733	-	440	NZ_CADCST010000079.1_19	susD		
GCF_902804485.1_CECT7796	PUL13	NZ_CADCST010000079.1_20	NZ_CADCST010000079.1	33749	36838	-	16	NZ_CADCST010000079.1_20	susC		
GCF_902804485.1_CECT7796	PUL13	NZ_CADCST010000079.1_21	NZ_CADCST010000079.1	37150	38160	-	312	NZ_CADCST010000079.1_21			
GCF_902804485.1_CECT7796	PUL13	NZ_CADCST010000079.1_22	NZ_CADCST010000079.1	38459	39421	-	299	NZ_CADCST010000079.1_22			
GCF_902804485.1_CECT7796	PUL13	NZ_CADCST010000079.1_23	NZ_CADCST010000079.1	39641	41743	-	220	NZ_CADCST010000079.1_23		GH97	
GCF_902804485.1_CECT7796	PUL14	NZ_CADCST010000083.1_11	NZ_CADCST010000083.1	13489	16620	+	-28254	NZ_CADCST010000083.1_11	susC		
GCF_902804485.1_CECT7796	PUL14	NZ_CADCST010000083.1_12	NZ_CADCST010000083.1	16645	18144	+	25	NZ_CADCST010000083.1_12	susD		
GCF_902804485.1_CECT7796	PUL14	NZ_CADCST010000083.1_13	NZ_CADCST010000083.1	18400	20406	+	256	NZ_CADCST010000083.1_13		GH63	
GCF_902804485.1_CECT7796	PUL14	NZ_CADCST010000083.1_14	NZ_CADCST010000083.1	20648	22783	+	242	NZ_CADCST010000083.1_14		GH42	
GCF_902804485.1_CECT7796	PUL15	NZ_CADCST010000083.1_45	NZ_CADCST010000083.1	68235	71426	+	45452	NZ_CADCST010000083.1_45	susC		
GCF_902804485.1_CECT7796	PUL15	NZ_CADCST010000083.1_46	NZ_CADCST010000083.1	71439	72863	+	13	NZ_CADCST010000083.1_46	susD		
GCF_902804485.1_CECT7796	PUL15	NZ_CADCST010000083.1_47	NZ_CADCST010000083.1	72977	74332	-	114	NZ_CADCST010000083.1_47			
