genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_902506345.1_FLAVO9R_assembly	PUL1	NZ_LR733413.1_48	NZ_LR733413.1	49575	52619	+	0	NZ_LR733413.1_48	susC		
GCF_902506345.1_FLAVO9R_assembly	PUL1	NZ_LR733413.1_49	NZ_LR733413.1	52668	54050	+	49	NZ_LR733413.1_49	susD		
GCF_902506345.1_FLAVO9R_assembly	PUL2	NZ_LR733413.1_392	NZ_LR733413.1	435393	438437	+	381343	NZ_LR733413.1_392	susC		
GCF_902506345.1_FLAVO9R_assembly	PUL2	NZ_LR733413.1_393	NZ_LR733413.1	438449	439927	+	12	NZ_LR733413.1_393	susD		
GCF_902506345.1_FLAVO9R_assembly	PUL2	NZ_LR733413.1_394	NZ_LR733413.1	439941	441563	+	14	NZ_LR733413.1_394			
GCF_902506345.1_FLAVO9R_assembly	PUL2	NZ_LR733413.1_395	NZ_LR733413.1	441576	443210	+	13	NZ_LR733413.1_395		GH16	
GCF_902506345.1_FLAVO9R_assembly	PUL2	NZ_LR733413.1_396	NZ_LR733413.1	443305	445569	+	95	NZ_LR733413.1_396		GH3	
GCF_902506345.1_FLAVO9R_assembly	PUL2	NZ_LR733413.1_397	NZ_LR733413.1	445780	446538	+	211	NZ_LR733413.1_397		GH16	
GCF_902506345.1_FLAVO9R_assembly	PUL3	NZ_LR733413.1_457	NZ_LR733413.1	516919	519918	+	70381	NZ_LR733413.1_457	susC		
GCF_902506345.1_FLAVO9R_assembly	PUL3	NZ_LR733413.1_458	NZ_LR733413.1	519923	521377	+	5	NZ_LR733413.1_458	susD		
GCF_902506345.1_FLAVO9R_assembly	PUL3	NZ_LR733413.1_459	NZ_LR733413.1	521395	522294	+	18	NZ_LR733413.1_459			
GCF_902506345.1_FLAVO9R_assembly	PUL3	NZ_LR733413.1_460	NZ_LR733413.1	522364	523740	+	70	NZ_LR733413.1_460		GH144	
GCF_902506345.1_FLAVO9R_assembly	PUL3	NZ_LR733413.1_461	NZ_LR733413.1	523877	526180	+	137	NZ_LR733413.1_461		GH3	
GCF_902506345.1_FLAVO9R_assembly	PUL3	NZ_LR733413.1_462	NZ_LR733413.1	526273	528039	+	93	NZ_LR733413.1_462		GH43_28	
GCF_902506345.1_FLAVO9R_assembly	PUL4	NZ_LR733413.1_486	NZ_LR733413.1	553783	554514	-	25744	NZ_LR733413.1_486		CE12	
GCF_902506345.1_FLAVO9R_assembly	PUL4	NZ_LR733413.1_487	NZ_LR733413.1	554522	555868	-	8	NZ_LR733413.1_487		GH28	
GCF_902506345.1_FLAVO9R_assembly	PUL4	NZ_LR733413.1_488	NZ_LR733413.1	556029	558038	-	161	NZ_LR733413.1_488		PL10_1;CE8	
GCF_902506345.1_FLAVO9R_assembly	PUL4	NZ_LR733413.1_489	NZ_LR733413.1	558049	559671	-	11	NZ_LR733413.1_489		GH43_10	
GCF_902506345.1_FLAVO9R_assembly	PUL4	NZ_LR733413.1_490	NZ_LR733413.1	559675	560862	-	4	NZ_LR733413.1_490		GH105	
GCF_902506345.1_FLAVO9R_assembly	PUL4	NZ_LR733413.1_491	NZ_LR733413.1	560883	561842	-	21	NZ_LR733413.1_491			
GCF_902506345.1_FLAVO9R_assembly	PUL4	NZ_LR733413.1_492	NZ_LR733413.1	561843	562745	-	1	NZ_LR733413.1_492		CE10	
GCF_902506345.1_FLAVO9R_assembly	PUL4	NZ_LR733413.1_493	NZ_LR733413.1	562874	564499	-	129	NZ_LR733413.1_493	susD		
GCF_902506345.1_FLAVO9R_assembly	PUL4	NZ_LR733413.1_494	NZ_LR733413.1	564511	567603	-	12	NZ_LR733413.1_494	susC		
GCF_902506345.1_FLAVO9R_assembly	PUL5	NZ_LR733413.1_496	NZ_LR733413.1	569699	571486	-	2096	NZ_LR733413.1_496	susD		
GCF_902506345.1_FLAVO9R_assembly	PUL5	NZ_LR733413.1_497	NZ_LR733413.1	571506	574709	-	20	NZ_LR733413.1_497	susC		
GCF_902506345.1_FLAVO9R_assembly	PUL5	NZ_LR733413.1_498	NZ_LR733413.1	574735	576183	-	26	NZ_LR733413.1_498		GH28	
GCF_902506345.1_FLAVO9R_assembly	PUL6	NZ_LR733413.1_768	NZ_LR733413.1	876207	879233	+	300024	NZ_LR733413.1_768	susC		
GCF_902506345.1_FLAVO9R_assembly	PUL6	NZ_LR733413.1_769	NZ_LR733413.1	879244	880824	+	11	NZ_LR733413.1_769	susD		
GCF_902506345.1_FLAVO9R_assembly	PUL6	NZ_LR733413.1_770	NZ_LR733413.1	881262	883199	+	438	NZ_LR733413.1_770			
GCF_902506345.1_FLAVO9R_assembly	PUL6	NZ_LR733413.1_771	NZ_LR733413.1	883297	885369	+	98	NZ_LR733413.1_771		GH20	
GCF_902506345.1_FLAVO9R_assembly	PUL6	NZ_LR733413.1_772	NZ_LR733413.1	885560	886648	+	191	NZ_LR733413.1_772		GH18	
GCF_902506345.1_FLAVO9R_assembly	PUL7	NZ_LR733413.1_1271	NZ_LR733413.1	1449636	1450763	+	562988	NZ_LR733413.1_1271		CE2	
GCF_902506345.1_FLAVO9R_assembly	PUL7	NZ_LR733413.1_1272	NZ_LR733413.1	1450753	1452132	+	-10	NZ_LR733413.1_1272			
GCF_902506345.1_FLAVO9R_assembly	PUL7	NZ_LR733413.1_1273	NZ_LR733413.1	1452396	1454690	+	264	NZ_LR733413.1_1273		GH3	
