genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_900450525.1_59302_E01	PUL1	NZ_UGGR01000001.1_2	NZ_UGGR01000001.1	877	8169	-	0	NZ_UGGR01000001.1_2		CE8;PL1_2;CBM6	
GCF_900450525.1_59302_E01	PUL1	NZ_UGGR01000001.1_3	NZ_UGGR01000001.1	8437	9234	-	268	NZ_UGGR01000001.1_3		CE12	
GCF_900450525.1_59302_E01	PUL1	NZ_UGGR01000001.1_4	NZ_UGGR01000001.1	9236	10231	-	2	NZ_UGGR01000001.1_4		CE10	
GCF_900450525.1_59302_E01	PUL1	NZ_UGGR01000001.1_5	NZ_UGGR01000001.1	10278	11972	-	47	NZ_UGGR01000001.1_5		GH28	
GCF_900450525.1_59302_E01	PUL1	NZ_UGGR01000001.1_6	NZ_UGGR01000001.1	11996	13219	-	24	NZ_UGGR01000001.1_6		GH105	
GCF_900450525.1_59302_E01	PUL1	NZ_UGGR01000001.1_7	NZ_UGGR01000001.1	13223	14866	-	4	NZ_UGGR01000001.1_7		GH43_10	
GCF_900450525.1_59302_E01	PUL1	NZ_UGGR01000001.1_8	NZ_UGGR01000001.1	15041	16690	-	175	NZ_UGGR01000001.1_8			
GCF_900450525.1_59302_E01	PUL1	NZ_UGGR01000001.1_9	NZ_UGGR01000001.1	16702	18597	-	12	NZ_UGGR01000001.1_9	susD		
GCF_900450525.1_59302_E01	PUL1	NZ_UGGR01000001.1_10	NZ_UGGR01000001.1	18622	21843	-	25	NZ_UGGR01000001.1_10	susC		
GCF_900450525.1_59302_E01	PUL2	NZ_UGGR01000001.1_50	NZ_UGGR01000001.1	73752	77096	+	51909	NZ_UGGR01000001.1_50	susC		
GCF_900450525.1_59302_E01	PUL2	NZ_UGGR01000001.1_51	NZ_UGGR01000001.1	77108	78430	+	12	NZ_UGGR01000001.1_51	susD		
GCF_900450525.1_59302_E01	PUL3	NZ_UGGR01000001.1_78	NZ_UGGR01000001.1	106860	110216	+	28430	NZ_UGGR01000001.1_78	susC		
GCF_900450525.1_59302_E01	PUL3	NZ_UGGR01000001.1_79	NZ_UGGR01000001.1	110221	111702	+	5	NZ_UGGR01000001.1_79	susD		
GCF_900450525.1_59302_E01	PUL4	NZ_UGGR01000002.1_49	NZ_UGGR01000002.1	50072	52489	-	-61630	NZ_UGGR01000002.1_49	susC		
GCF_900450525.1_59302_E01	PUL5	NZ_UGGR01000002.1_49	NZ_UGGR01000002.1	50072	52489	-	-9494	NZ_UGGR01000002.1_49	susC		
GCF_900450525.1_59302_E01	PUL4	NZ_UGGR01000002.1_50	NZ_UGGR01000002.1	52817	54595	+	328	NZ_UGGR01000002.1_50			
GCF_900450525.1_59302_E01	PUL5	NZ_UGGR01000002.1_50	NZ_UGGR01000002.1	52817	54595	+	328	NZ_UGGR01000002.1_50			
GCF_900450525.1_59302_E01	PUL4	NZ_UGGR01000002.1_51	NZ_UGGR01000002.1	54988	58122	+	393	NZ_UGGR01000002.1_51	susC		
GCF_900450525.1_59302_E01	PUL5	NZ_UGGR01000002.1_51	NZ_UGGR01000002.1	54988	58122	+	393	NZ_UGGR01000002.1_51	susC		
GCF_900450525.1_59302_E01	PUL4	NZ_UGGR01000002.1_52	NZ_UGGR01000002.1	58133	59566	+	11	NZ_UGGR01000002.1_52	susD		
GCF_900450525.1_59302_E01	PUL5	NZ_UGGR01000002.1_52	NZ_UGGR01000002.1	58133	59566	+	11	NZ_UGGR01000002.1_52	susD		
GCF_900450525.1_59302_E01	PUL6	NZ_UGGR01000002.1_53	NZ_UGGR01000002.1	60098	63265	+	532	NZ_UGGR01000002.1_53	susC		
GCF_900450525.1_59302_E01	PUL6	NZ_UGGR01000002.1_54	NZ_UGGR01000002.1	63277	64749	+	12	NZ_UGGR01000002.1_54	susD		
