genome	pulid	contigid	start	end	pattern
GCF_000335775.1_WG21.1.0	PUL1	NZ_AMYW01000001.1	273316	292312	GH13_20-GH97-GH65-unk-unk-unk-susC-susD-unk-GH13_10
GCF_000335775.1_WG21.1.0	PUL2	NZ_AMYW01000002.1	17914	22589	susD-susC
GCF_000335775.1_WG21.1.0	PUL3	NZ_AMYW01000002.1	220679	230355	susC-susD-susC-susD
GCF_000335775.1_WG21.1.0	PUL4	NZ_AMYW01000002.1	220679	230355	susC-susD-susC-susD
GCF_000335775.1_WG21.1.0	PUL5	NZ_AMYW01000002.1	230926	235808	susC-susD
GCF_000335775.1_WG21.1.0	PUL6	NZ_AMYW01000003.1	251586	262223	PL15-unk-unk-unk-susD-susC
GCF_000335775.1_WG21.1.0	PUL7	NZ_AMYW01000004.1	108635	123292	susC-unk-unk-unk-CE1-unk-unk-susD-susC
GCF_000335775.1_WG21.1.0	PUL8	NZ_AMYW01000004.1	177986	182338	susC-susD
GCF_000335775.1_WG21.1.0	PUL9	NZ_AMYW01000005.1	66399	81861	GH28-susC-susD-CE10-unk-GH105-GH105-CE8;PL10_1-GH28-CE12
GCF_000335775.1_WG21.1.0	PUL10	NZ_AMYW01000005.1	198262	203207	susC-susD
GCF_000335775.1_WG21.1.0	PUL11	NZ_AMYW01000007.1	54254	58721	susC-susD
GCF_000335775.1_WG21.1.0	PUL12	NZ_AMYW01000007.1	69771	74187	susC-susD
GCF_000335775.1_WG21.1.0	PUL13	NZ_AMYW01000011.1	77277	88438	susC-susD-GH144-GH3-unk-GH43_28;CBM32
GCF_000335775.1_WG21.1.0	PUL14	NZ_AMYW01000013.1	30617	40044	susC-unk-unk-susC-susD
GCF_000335775.1_WG21.1.0	PUL15	NZ_AMYW01000014.1	1219	5694	susC-susD
GCF_000335775.1_WG21.1.0	PUL16	NZ_AMYW01000016.1	11182	20726	susD-susC-unk-unk-GH97
GCF_000335775.1_WG21.1.0	PUL17	NZ_AMYW01000018.1	7871	17075	susC-susD-GH63-GH42
GCF_000335775.1_WG21.1.0	PUL18	NZ_AMYW01000018.1	54182	65669	susC-susD-unk-unk-unk-susC
GCF_000335775.1_WG21.1.0	PUL19	NZ_AMYW01000020.1	21532	31147	GH35-GH109-unk-susD-susC
GCF_000335775.1_WG21.1.0	PUL20	NZ_AMYW01000020.1	43642	48285	susD-susC
GCF_000335775.1_WG21.1.0	PUL21	NZ_AMYW01000022.1	46019	51240	susD-susC
GCF_000335775.1_WG21.1.0	PUL22	NZ_AMYW01000023.1	35740	40415	susC-susD
GCF_000335775.1_WG21.1.0	PUL23	NZ_AMYW01000024.1	20735	35116	GH18-GH20-unk-susD-susC
GCF_000335775.1_WG21.1.0	PUL24	NZ_AMYW01000025.1	51444	61258	susD-susC-susD-susC
GCF_000335775.1_WG21.1.0	PUL25	NZ_AMYW01000027.1	28872	33459	susC-susD
GCF_000335775.1_WG21.1.0	PUL26	NZ_AMYW01000029.1	47328	63114	GH3-unk-CBM6;GH5_46-GH3-GH30_1-GH30_1-susD-susC
GCF_000335775.1_WG21.1.0	PUL27	NZ_AMYW01000031.1	13181	18226	susC-susD
