genome	pulid	contigid	start	end	pattern
GCF_000708595.2	PUL1	NZ_JARP01000001.1	90682	103189	GH3-unk-unk-unk-unk-susD-susC
GCF_000708595.2	PUL2	NZ_JARP01000001.1	418523	427155	susC-susD-unk-GH16-GH16
GCF_000708595.2	PUL3	NZ_JARP01000001.1	651036	662117	susC-susD-GH144-CE1-GH3-CBM32;GH43_28
GCF_000708595.2	PUL4	NZ_JARP01000001.1	938232	943305	susC-susD
GCF_000708595.2	PUL5	NZ_JARP01000001.1	950401	955013	susC-susD
GCF_000708595.2	PUL6	NZ_JARP01000001.1	1059807	1065031	susC-susD
GCF_000708595.2	PUL7	NZ_JARP01000001.1	1493216	1516050	GH95-unk-GH5_4-GH3-GH39-GH97-GH31-GH2-unk-susD-susC
GCF_000708595.2	PUL8	NZ_JARP01000002.1	315101	329572	susC-susD-GH51-GH43_4-GH43_29-GH43_5-GH127-GH51
GCF_000708595.2	PUL9	NZ_JARP01000002.1	425007	438014	GH13;CBM26-GH97-GH13-unk-susD-susC
GCF_000708595.2	PUL10	NZ_JARP01000002.1	637427	658083	GH13_19-GH13_20-GH97-GH65-unk-unk-unk-susC-susD-unk-GH13_10
GCF_000708595.2	PUL11	NZ_JARP01000002.1	840647	858308	susC-susD-unk-GH30_1-GH30_1-GH30_3-CBM6;GH5_46-GH16-unk-GH30_3-GH3
GCF_000708595.2	PUL12	NZ_JARP01000003.1	73320	78021	susD-susC
GCF_000708595.2	PUL13	NZ_JARP01000003.1	220643	233184	susC-unk-susC-susD-unk-susC
GCF_000708595.2	PUL14	NZ_JARP01000003.1	298663	303664	susC-susD
GCF_000708595.2	PUL15	NZ_JARP01000004.1	77161	82084	susD-susC
GCF_000708595.2	PUL16	NZ_JARP01000004.1	172020	194122	susD-susC-unk-unk-unk-unk-CBM6;CBM13-CBM6;GH18-CBM6;GH64;CBM13-GH16;CBM32
GCF_000708595.2	PUL17	NZ_JARP01000004.1	205044	221357	PL29-unk-susC-susD-GH88-GH2-GH2
GCF_000708595.2	PUL18	NZ_JARP01000004.1	254673	302398	PL11_1-unk-unk-CE12-GH2-CE12-unk-GH115-GH28-GH43_24-unk-GH105-unk-unk-GH159-unk-susD-susC-susD-susC-GH106-GH105-GH2-GH43_18;CE10
GCF_000708595.2	PUL19	NZ_JARP01000005.1	112994	137393	CE2-unk-GH3-unk-GH97-GH5_7-unk-GH130-unk-GH26-unk-susC-susD-unk-GH27-GH5_2
GCF_000708595.2	PUL20	NZ_JARP01000005.1	270857	284988	susC-susD-unk-unk-unk-GH43_37;CBM61
GCF_000708595.2	PUL21	NZ_JARP01000006.1	128494	132884	susD-susC
GCF_000708595.2	PUL22	NZ_JARP01000006.1	141446	146059	susD-susC
GCF_000708595.2	PUL23	NZ_JARP01000006.1	198150	236733	CBM32;GH29-unk-unk-unk-GH92-unk-GH130-CBM9-unk-unk-GH2-GH20-GH29-GH92-GH3-susC-susD-unk-GH33-unk-susC
GCF_000708595.2	PUL24	NZ_JARP01000006.1	286971	291594	susC-susD
GCF_000708595.2	PUL25	NZ_JARP01000007.1	344912	349581	susC-susD
GCF_000708595.2	PUL26	NZ_JARP01000008.1	76805	84924	GH97-GH99-susD-susC
GCF_000708595.2	PUL27	NZ_JARP01000008.1	113257	117617	susD-susC
GCF_000708595.2	PUL28	NZ_JARP01000010.1	6612	20416	GH20-GH92-unk-unk-unk-susD-susC
GCF_000708595.2	PUL29	NZ_JARP01000010.1	57804	62311	susD-susC
