genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GCF_001429295.1_Root935	PUL1	NZ_LMJL01000001.1_52	NZ_LMJL01000001.1	51769	53883	-	0	NZ_LMJL01000001.1_52	susC		
GCF_001429295.1_Root935	PUL1	NZ_LMJL01000001.1_53	NZ_LMJL01000001.1	53987	54889	+	104	NZ_LMJL01000001.1_53			
GCF_001429295.1_Root935	PUL1	NZ_LMJL01000001.1_54	NZ_LMJL01000001.1	54961	56337	-	72	NZ_LMJL01000001.1_54	susD		
GCF_001429295.1_Root935	PUL1	NZ_LMJL01000001.1_55	NZ_LMJL01000001.1	56355	59420	-	18	NZ_LMJL01000001.1_55	susC		
GCF_001429295.1_Root935	PUL1	NZ_LMJL01000001.1_56	NZ_LMJL01000001.1	59881	60591	-	461	NZ_LMJL01000001.1_56			
GCF_001429295.1_Root935	PUL1	NZ_LMJL01000001.1_57	NZ_LMJL01000001.1	60903	62681	-	312	NZ_LMJL01000001.1_57			
GCF_001429295.1_Root935	PUL1	NZ_LMJL01000001.1_58	NZ_LMJL01000001.1	62846	65431	+	165	NZ_LMJL01000001.1_58	susC		
GCF_001429295.1_Root935	PUL2	NZ_LMJL01000001.1_194	NZ_LMJL01000001.1	192626	195811	+	127195	NZ_LMJL01000001.1_194	susC		
GCF_001429295.1_Root935	PUL2	NZ_LMJL01000001.1_195	NZ_LMJL01000001.1	195828	197255	+	17	NZ_LMJL01000001.1_195	susD		
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_240	NZ_LMJL01000007.1	258552	260948	-	61297	NZ_LMJL01000007.1_240		GH95	
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_241	NZ_LMJL01000007.1	261281	263227	-	333	NZ_LMJL01000007.1_241			
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_242	NZ_LMJL01000007.1	263339	264856	-	112	NZ_LMJL01000007.1_242		GH5_4	
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_243	NZ_LMJL01000007.1	264920	267145	-	64	NZ_LMJL01000007.1_243		GH3	
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_244	NZ_LMJL01000007.1	267249	268805	-	104	NZ_LMJL01000007.1_244		GH39	
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_245	NZ_LMJL01000007.1	268947	270953	-	142	NZ_LMJL01000007.1_245		GH97	
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_246	NZ_LMJL01000007.1	271155	273554	-	202	NZ_LMJL01000007.1_246		GH31	
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_247	NZ_LMJL01000007.1	273685	276183	-	131	NZ_LMJL01000007.1_247		GH2	
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_248	NZ_LMJL01000007.1	276321	277175	-	138	NZ_LMJL01000007.1_248			
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_249	NZ_LMJL01000007.1	277193	278773	-	18	NZ_LMJL01000007.1_249	susD		
GCF_001429295.1_Root935	PUL3	NZ_LMJL01000007.1_250	NZ_LMJL01000007.1	278786	281872	-	13	NZ_LMJL01000007.1_250	susC		
GCF_001429295.1_Root935	PUL4	NZ_LMJL01000007.1_637	NZ_LMJL01000007.1	729542	732661	-	447670	NZ_LMJL01000007.1_637		GH13;CBM26	
GCF_001429295.1_Root935	PUL4	NZ_LMJL01000007.1_638	NZ_LMJL01000007.1	732910	735090	-	249	NZ_LMJL01000007.1_638		GH97	
GCF_001429295.1_Root935	PUL4	NZ_LMJL01000007.1_639	NZ_LMJL01000007.1	735138	736520	-	48	NZ_LMJL01000007.1_639		GH13	
GCF_001429295.1_Root935	PUL4	NZ_LMJL01000007.1_640	NZ_LMJL01000007.1	736616	737698	-	96	NZ_LMJL01000007.1_640			
GCF_001429295.1_Root935	PUL4	NZ_LMJL01000007.1_641	NZ_LMJL01000007.1	737713	739221	-	15	NZ_LMJL01000007.1_641	susD		
GCF_001429295.1_Root935	PUL4	NZ_LMJL01000007.1_642	NZ_LMJL01000007.1	739230	742502	-	9	NZ_LMJL01000007.1_642	susC		
